,left,pron,right,candidates,selected,input_sentence,predicted_label,true_label,correct
28,Anna did a lot better than her good friend Lucy on the test because,she,had studied so hard.,"Anna,Lucy",0,"How does the sentence end?

Anna did a lot better than her good friend Lucy on the test because

 OPTIONS: 
- Anna had studied so hard.
 - Lucy had studied so hard.
Output: ",Anna had studied so hard.,anna had studied so hard.,True
29,Anna did a lot worse than her good friend Lucy on the test because,she,had studied so hard.,"Anna,Lucy",1,"How does the sentence end?

Anna did a lot worse than her good friend Lucy on the test because

 OPTIONS: 
- Anna had studied so hard.
 - Lucy had studied so hard.
Output: ",Lucy had studied so hard.,lucy had studied so hard.,True
30,The firemen arrived after the police because,they,were coming from so far away.,"The firemen,The police",0,"How does the sentence end?

The firemen arrived after the police because

 OPTIONS: 
- The firemen were coming from so far away.
 - The police were coming from so far away.
Output: ",The police were coming from so far away.,the firemen were coming from so far away.,False
31,The firemen arrived before the police because,they,were coming from so far away.,"The firemen,The police",1,"How does the sentence end?

The firemen arrived before the police because

 OPTIONS: 
- The firemen were coming from so far away.
 - The police were coming from so far away.
Output: ",The police were coming from so far away.,the police were coming from so far away.,True
32,Frank was upset with Tom because the toaster,he,had bought from him didn't work.,"Frank,Tom",0,"How does the sentence end?

Frank was upset with Tom because the toaster

 OPTIONS: 
- Frank had bought from him didn't work.
 - Tom had bought from him didn't work.
Output: ",Tom had bought from him didn't work.,frank had bought from him didn't work.,False
33,Frank was upset with Tom because the toaster,he,had sold him didn't work.,"Frank,Tom",1,"How does the sentence end?

Frank was upset with Tom because the toaster

 OPTIONS: 
- Frank had sold him didn't work.
 - Tom had sold him didn't work.
Output: ",Tom had sold him didn't work.,tom had sold him didn't work.,True
34,Jim yelled at Kevin because,he,was so upset.,"Jim,Kevin",0,"How does the sentence end?

Jim yelled at Kevin because

 OPTIONS: 
- Jim was so upset.
 - Kevin was so upset.
Output: ",Jim was so upset.,jim was so upset.,True
35,Jim comforted Kevin because,he,was so upset.,"Jim,Kevin",1,"How does the sentence end?

Jim comforted Kevin because

 OPTIONS: 
- Jim was so upset.
 - Kevin was so upset.
Output: ",Kevin was so upset.,kevin was so upset.,True
36,"The sack of potatoes had been placed above the bag of flour, so",it,had to be moved first.,"The sack of potatoes,The bag of flour",0,"How does the sentence end?

The sack of potatoes had been placed above the bag of flour, so

 OPTIONS: 
- The sack of potatoes had to be moved first.
 - The bag of flour had to be moved first.
Output: ",The bag of flour had to be moved first.,the sack of potatoes had to be moved first.,False
37,"The sack of potatoes had been placed below the bag of flour, so",it,had to be moved first.,"The sack of potatoes,The bag of flour",1,"How does the sentence end?

The sack of potatoes had been placed below the bag of flour, so

 OPTIONS: 
- The sack of potatoes had to be moved first.
 - The bag of flour had to be moved first.
Output: ",The bag of flour had to be moved first.,the bag of flour had to be moved first.,True
38,Pete envies Martin although,he,is very successful.,"Pete,Martin",0,"How does the sentence end?

Pete envies Martin although

 OPTIONS: 
- Pete is very successful.
 - Martin is very successful.
Output: ",Martin is very successful.,pete is very successful.,False
39,Pete envies Martin because,he,is very successful.,"Pete,Martin",1,"How does the sentence end?

Pete envies Martin because

 OPTIONS: 
- Pete is very successful.
 - Martin is very successful.
Output: ",Martin is very successful.,martin is very successful.,True
40,"The older students were bullying the younger ones, so we punished",them,.,"The older students,The younger students",0,"How does the sentence end?

The older students were bullying the younger ones, so we punished

 OPTIONS: 
- The older students .
 - The younger students .
Output: ",The younger students.,the older students .,False
41,"The older students were bullying the younger ones, so we rescued",them,.,"The older students,The younger students",1,"How does the sentence end?

The older students were bullying the younger ones, so we rescued

 OPTIONS: 
- The older students .
 - The younger students .
Output: ",The younger students.,the younger students .,True
42,I poured water from the bottle into the cup until,it,was empty.,"the bottle,the cup",0,"How does the sentence end?

I poured water from the bottle into the cup until

 OPTIONS: 
- the bottle was empty.
 - the cup was empty.
Output: ",the bottle was empty.,the bottle was empty.,True
43,I poured water from the bottle into the cup until,it,was full.,"the bottle,the cup",1,"How does the sentence end?

I poured water from the bottle into the cup until

 OPTIONS: 
- the bottle was full.
 - the cup was full.
Output: ",the cup was full.,the cup was full.,True
44,Susan knows all about Ann's personal problems because,she,is nosy.,"Susan,Ann",0,"How does the sentence end?

Susan knows all about Ann's personal problems because

 OPTIONS: 
- Susan is nosy.
 - Ann is nosy.
Output: ",Susan is nosy.,susan is nosy.,True
45,Susan knows all about Ann's personal problems because,she,is indiscreet.,"Susan,Ann",1,"How does the sentence end?

Susan knows all about Ann's personal problems because

 OPTIONS: 
- Susan is indiscreet.
 - Ann is indiscreet.
Output: ",Susan is indiscreet.,ann is indiscreet.,False
46,Sid explained his theory to Mark but,he,couldn't convince him.,"Sid,Mark",0,"How does the sentence end?

Sid explained his theory to Mark but

 OPTIONS: 
- Sid couldn't convince him.
 - Mark couldn't convince him.
Output: ",Mark couldn't convince him.,sid couldn't convince him.,False
47,Sid explained his theory to Mark but,he,couldn't understand him.,"Sid,Mark",1,"How does the sentence end?

Sid explained his theory to Mark but

 OPTIONS: 
- Sid couldn't understand him.
 - Mark couldn't understand him.
Output: ",Mark couldn't understand him.,mark couldn't understand him.,True
48,"Susan knew that Ann's son had been in a car accident, so",she,told her about it.,"Susan,Ann",0,"How does the sentence end?

Susan knew that Ann's son had been in a car accident, so

 OPTIONS: 
- Susan told her about it.
 - Ann told her about it.
Output: ",Susan told her about it.,susan told her about it.,True
49,"Susan knew that Ann's son had been in a car accident, because",she,told her about it.,"Susan,Ann",1,"How does the sentence end?

Susan knew that Ann's son had been in a car accident, because

 OPTIONS: 
- Susan told her about it.
 - Ann told her about it.
Output: ",Susan told her about it.,ann told her about it.,False
50,"Joe's uncle can still beat him at tennis, even though",he,is 30 years younger.,"Joe,Joe's uncle",0,"How does the sentence end?

Joe's uncle can still beat him at tennis, even though

 OPTIONS: 
- Joe is 30 years younger.
 - Joe's uncle is 30 years younger.
Output: ",Joe is 30 years younger.,joe is 30 years younger.,True
51,"Joe's uncle can still beat him at tennis, even though",he,is 30 years older.,"Joe,Joe's uncle",1,"How does the sentence end?

Joe's uncle can still beat him at tennis, even though

 OPTIONS: 
- Joe is 30 years older.
 - Joe's uncle is 30 years older.
Output: ",Joe is 30 years older.,joe's uncle is 30 years older.,False
52,The painting in Mark's living room shows an oak tree.,It,is to the right of the bookcase.,"The painting,The oak tree",0,"How does the sentence end?

The painting in Mark's living room shows an oak tree.

 OPTIONS: 
- The painting is to the right of the bookcase.
 - The oak tree is to the right of the bookcase.
Output: ",The painting is to the right of the bookcase.,the painting is to the right of the bookcase.,True
53,The painting in Mark's living room shows an oak tree.,It,is to the right of a house.,"The painting,The oak tree",1,"How does the sentence end?

The painting in Mark's living room shows an oak tree.

 OPTIONS: 
- The painting is to the right of a house.
 - The oak tree is to the right of a house.
Output: ",The painting is to the right of a house.,the oak tree is to the right of a house.,False
54,There is a gap in the wall. You can see the garden through,it,.,"The gap,The wall",0,"How does the sentence end?

There is a gap in the wall. You can see the garden through

 OPTIONS: 
- The gap .
 - The wall .
Output: ",The gap.,the gap .,True
55,There is a gap in the wall. You can see the garden behind,it,.,"The gap,The wall",1,"How does the sentence end?

There is a gap in the wall. You can see the garden behind

 OPTIONS: 
- The gap .
 - The wall .
Output: ",The gap.,the wall .,False
56,The drain is clogged with hair.,It,has to be cleaned.,"The drain,The hair",0,"How does the sentence end?

The drain is clogged with hair.

 OPTIONS: 
- The drain has to be cleaned.
 - The hair has to be cleaned.
Output: ",The drain has to be cleaned.,the drain has to be cleaned.,True
57,The drain is clogged with hair.,It,has to be removed.,"The drain,The hair",1,"How does the sentence end?

The drain is clogged with hair.

 OPTIONS: 
- The drain has to be removed.
 - The hair has to be removed.
Output: ",The drain has to be removed.,the hair has to be removed.,False
58,"My meeting started at 4:00 and I needed to catch the train at 4:30,  so there wasn't much time. Luckily,",it,"was short, so it worked out.","The meeting,The train",0,"How does the sentence end?

My meeting started at 4:00 and I needed to catch the train at 4:30,  so there wasn't much time. Luckily,

 OPTIONS: 
- The meeting was short, so it worked out.
 - The train was short, so it worked out.
Output: ","The meeting was short, so it worked out.","the meeting was short, so it worked out.",True
59,"My meeting started at 4:00 and I needed to catch the train at 4:30,  so there wasn't much time. Luckily,",it,"was delayed, so it worked out.","The meeting,The train",1,"How does the sentence end?

My meeting started at 4:00 and I needed to catch the train at 4:30,  so there wasn't much time. Luckily,

 OPTIONS: 
- The meeting was delayed, so it worked out.
 - The train was delayed, so it worked out.
Output: ","The train was delayed, so it worked out.","the train was delayed, so it worked out.",True
60,"There is a pillar between me and the stage, and I can't see around",it,.,"The pillar,The stage",0,"How does the sentence end?

There is a pillar between me and the stage, and I can't see around

 OPTIONS: 
- The pillar .
 - The stage .
Output: ",The pillar.,the pillar .,True
61,"There is a pillar between me and the stage, and I can't see",it,.,"The pillar,The stage",1,"How does the sentence end?

There is a pillar between me and the stage, and I can't see

 OPTIONS: 
- The pillar .
 - The stage .
Output: ",The pillar.,the stage .,False
62,"They broadcast an announcement, but a subway came into the station and I couldn't hear",it,.,"The announcement,The subway",0,"How does the sentence end?

They broadcast an announcement, but a subway came into the station and I couldn't hear

 OPTIONS: 
- The announcement .
 - The subway .
Output: ",The announcement.,the announcement .,True
63,"They broadcast an announcement, but a subway came into the station and I couldn't hear over",it,.,"The announcement,The subway",1,"How does the sentence end?

They broadcast an announcement, but a subway came into the station and I couldn't hear over

 OPTIONS: 
- The announcement .
 - The subway .
Output: ",The announcement.,the subway .,False
64,"In the middle of the outdoor concert, the rain started falling, but",it,continued until 10.,"The concert,The rain",0,"How does the sentence end?

In the middle of the outdoor concert, the rain started falling, but

 OPTIONS: 
- The concert continued until 10.
 - The rain continued until 10.
Output: ",The concert continued until 10.,the concert continued until 10.,True
65,"In the middle of the outdoor concert, the rain started falling, and",it,continued until 10.,"The concert,The rain",1,"How does the sentence end?

In the middle of the outdoor concert, the rain started falling, and

 OPTIONS: 
- The concert continued until 10.
 - The rain continued until 10.
Output: ",The concert continued until 10.,the rain continued until 10.,False
66,"I used an old rag to clean the knife, and then I put",it,in the trash.,"The rag,The knife",0,"How does the sentence end?

I used an old rag to clean the knife, and then I put

 OPTIONS: 
- The rag in the trash.
 - The knife in the trash.
Output: ",The knife in the trash.,the rag in the trash.,False
67,"I used an old rag to clean the knife, and then I put",it,in the drawer.,"The rag,The knife",1,"How does the sentence end?

I used an old rag to clean the knife, and then I put

 OPTIONS: 
- The rag in the drawer.
 - The knife in the drawer.
Output: ",The knife in the drawer.,the knife in the drawer.,True
68,"Ann asked Mary what time the library closes, because",she,had forgotten.,"Ann,Mary",0,"How does the sentence end?

Ann asked Mary what time the library closes, because

 OPTIONS: 
- Ann had forgotten.
 - Mary had forgotten.
Output: ",Ann had forgotten.,ann had forgotten.,True
69,"Ann asked Mary what time the library closes, but",she,had forgotten.,"Ann,Mary",1,"How does the sentence end?

Ann asked Mary what time the library closes, but

 OPTIONS: 
- Ann had forgotten.
 - Mary had forgotten.
Output: ",Mary had forgotten.,mary had forgotten.,True
70,I took the water bottle out of the backpack so that,it,would be handy.,"The water bottle,The backpack",0,"How does the sentence end?

I took the water bottle out of the backpack so that

 OPTIONS: 
- The water bottle would be handy.
 - The backpack would be handy.
Output: ",The water bottle would be handy.,the water bottle would be handy.,True
71,I took the water bottle out of the backpack so that,it,would be lighter.,"The water bottle,The backpack",1,"How does the sentence end?

I took the water bottle out of the backpack so that

 OPTIONS: 
- The water bottle would be lighter.
 - The backpack would be lighter.
Output: ",The water bottle would be lighter.,the backpack would be lighter.,False
72,I couldn't put the pot on the shelf because,it,was too tall.,"The pot,The shelf",0,"How does the sentence end?

I couldn't put the pot on the shelf because

 OPTIONS: 
- The pot was too tall.
 - The shelf was too tall.
Output: ",The pot was too tall.,the pot was too tall.,True
73,I couldn't put the pot on the shelf because,it,was too high.,"The pot,The shelf",1,"How does the sentence end?

I couldn't put the pot on the shelf because

 OPTIONS: 
- The pot was too high.
 - The shelf was too high.
Output: ",The pot was too high.,the shelf was too high.,False
74,I'm sure that my map will show this building;,it,is very good.,"The map,The building",0,"How does the sentence end?

I'm sure that my map will show this building;

 OPTIONS: 
- The map is very good.
 - The building is very good.
Output: ",The map is very good.,the map is very good.,True
75,I'm sure that my map will show this building;,it,is very famous.,"The map,The building",1,"How does the sentence end?

I'm sure that my map will show this building;

 OPTIONS: 
- The map is very famous.
 - The building is very famous.
Output: ",The building is very famous.,the building is very famous.,True
76,Bob paid for Charlie's college education.,He,is very generous.,"Bob,Charlie",0,"How does the sentence end?

Bob paid for Charlie's college education.

 OPTIONS: 
- Bob is very generous.
 - Charlie is very generous.
Output: ",Bob is very generous.,bob is very generous.,True
77,Bob paid for Charlie's college education.,He,is very grateful.,"Bob,Charlie",1,"How does the sentence end?

Bob paid for Charlie's college education.

 OPTIONS: 
- Bob is very grateful.
 - Charlie is very grateful.
Output: ",Charlie is very grateful.,charlie is very grateful.,True
78,"Bob paid for Charlie's college education, but now Charlie acts as though it never happened.",He,is very hurt.,"Bob,Charlie",0,"How does the sentence end?

Bob paid for Charlie's college education, but now Charlie acts as though it never happened.

 OPTIONS: 
- Bob is very hurt.
 - Charlie is very hurt.
Output: ",Charlie is very hurt.,bob is very hurt.,False
79,"Bob paid for Charlie's college education, but now Charlie acts as though it never happened.",He,is very ungrateful.,"Bob,Charlie",1,"How does the sentence end?

Bob paid for Charlie's college education, but now Charlie acts as though it never happened.

 OPTIONS: 
- Bob is very ungrateful.
 - Charlie is very ungrateful.
Output: ",Charlie is very ungrateful.,charlie is very ungrateful.,True
80,"Bob was playing cards with Adam and was way ahead. If Adam hadn't had a sudden run of good luck,",he,would have won.,"Bob,Adam",0,"How does the sentence end?

Bob was playing cards with Adam and was way ahead. If Adam hadn't had a sudden run of good luck,

 OPTIONS: 
- Bob would have won.
 - Adam would have won.
Output: ",Bob would have won.,bob would have won.,True
81,"Bob was playing cards with Adam and was way ahead. If Adam hadn't had a sudden run of good luck,",he,would have lost.,"Bob,Adam",1,"How does the sentence end?

Bob was playing cards with Adam and was way ahead. If Adam hadn't had a sudden run of good luck,

 OPTIONS: 
- Bob would have lost.
 - Adam would have lost.
Output: ",Adam would have lost.,adam would have lost.,True
82,"Adam can't leave work here until Bob arrives to replace him. If Bob had  left home for work on time,",he,would be gone by this time.,"Adam,Bob",0,"How does the sentence end?

Adam can't leave work here until Bob arrives to replace him. If Bob had  left home for work on time,

 OPTIONS: 
- Adam would be gone by this time.
 - Bob would be gone by this time.
Output: ",Adam would be gone by this time.,adam would be gone by this time.,True
83,"Adam can't leave work here until Bob arrives to replace him. If Bob had  left home for work on time,",he,would be here by this time.,"Adam,Bob",1,"How does the sentence end?

Adam can't leave work here until Bob arrives to replace him. If Bob had  left home for work on time,

 OPTIONS: 
- Adam would be here by this time.
 - Bob would be here by this time.
Output: ",Bob would be here by this time.,bob would be here by this time.,True
84,"If the con artist has succeeded in fooling Sam,",he,would have gotten a lot of money.,"The con artist,Sam",0,"How does the sentence end?

If the con artist has succeeded in fooling Sam,

 OPTIONS: 
- The con artist would have gotten a lot of money.
 - Sam would have gotten a lot of money.
Output: ",The con artist would have gotten a lot of money.,the con artist would have gotten a lot of money.,True
85,"If the con artist has succeeded in fooling Sam,",he,would have lost a lot of money.,"The con artist,Sam",1,"How does the sentence end?

If the con artist has succeeded in fooling Sam,

 OPTIONS: 
- The con artist would have lost a lot of money.
 - Sam would have lost a lot of money.
Output: ",The con artist would have lost a lot of money.,sam would have lost a lot of money.,False
86,"It was a summer afternoon, and the dog was sitting in the middle of the lawn. After a while, it got up and moved to a spot under the tree,  because",it,was hot.,"The dog,The spot under the tree",0,"How does the sentence end?

It was a summer afternoon, and the dog was sitting in the middle of the lawn. After a while, it got up and moved to a spot under the tree,  because

 OPTIONS: 
- The dog was hot.
 - The spot under the tree was hot.
Output: ",The dog was hot.,the dog was hot.,True
87,"It was a summer afternoon, and the dog was sitting in the middle of the lawn. After a while, it got up and moved to a spot under the tree,  because",it,was cooler.,"The dog,The spot under the tree",1,"How does the sentence end?

It was a summer afternoon, and the dog was sitting in the middle of the lawn. After a while, it got up and moved to a spot under the tree,  because

 OPTIONS: 
- The dog was cooler.
 - The spot under the tree was cooler.
Output: ",The dog was cooler.,the spot under the tree was cooler.,False
88,"The cat was lying by the mouse hole waiting for the mouse, but",it,was too impatient.,"The cat,The mouse",0,"How does the sentence end?

The cat was lying by the mouse hole waiting for the mouse, but

 OPTIONS: 
- The cat was too impatient.
 - The mouse was too impatient.
Output: ",The mouse was too impatient.,the cat was too impatient.,False
89,"The cat was lying by the mouse hole waiting for the mouse, but",it,was too cautious.,"The cat,The mouse",1,"How does the sentence end?

The cat was lying by the mouse hole waiting for the mouse, but

 OPTIONS: 
- The cat was too cautious.
 - The mouse was too cautious.
Output: ",The mouse was too cautious.,the mouse was too cautious.,True
90,Anne gave birth to a daughter last month.,She,is a very charming woman.,"Anne,Anne's daughter",0,"How does the sentence end?

Anne gave birth to a daughter last month.

 OPTIONS: 
- Anne is a very charming woman.
 - Anne's daughter is a very charming woman.
Output: ",Anne is a very charming woman.,anne is a very charming woman.,True
91,Anne gave birth to a daughter last month.,She,is a very charming baby.,"Anne,Anne's daughter",1,"How does the sentence end?

Anne gave birth to a daughter last month.

 OPTIONS: 
- Anne is a very charming baby.
 - Anne's daughter is a very charming baby.
Output: ",Anne's daughter is a very charming baby.,anne's daughter is a very charming baby.,True
92,"Alice tried frantically to stop her daughter from chatting at the party, leaving us to wonder why",she,was behaving so strangely.,"Alice,Alice's daughter",0,"How does the sentence end?

Alice tried frantically to stop her daughter from chatting at the party, leaving us to wonder why

 OPTIONS: 
- Alice was behaving so strangely.
 - Alice's daughter was behaving so strangely.
Output: ",Alice's daughter was behaving so strangely.,alice was behaving so strangely.,False
93,"Alice tried frantically to stop her daughter from barking at the party, leaving us to wonder why",she,was behaving so strangely.,"Alice,Alice's daughter",1,"How does the sentence end?

Alice tried frantically to stop her daughter from barking at the party, leaving us to wonder why

 OPTIONS: 
- Alice was behaving so strangely.
 - Alice's daughter was behaving so strangely.
Output: ",Alice's daughter was behaving so strangely.,alice's daughter was behaving so strangely.,True
94,I saw Jim yelling at some guy in a military uniform with a huge red  beard. I don't know why,he,"was, but he looked very unhappy.","Jim,the guy in uniform",0,"How does the sentence end?

I saw Jim yelling at some guy in a military uniform with a huge red  beard. I don't know why

 OPTIONS: 
- Jim was, but he looked very unhappy.
 - the guy in uniform was, but he looked very unhappy.
Output: ","Jim was, but he looked very unhappy.","jim was, but he looked very unhappy.",True
95,I saw Jim yelling at some guy in a military uniform with a huge red  beard. I don't know who,he,"was, but he looked very unhappy.","Jim,the guy in uniform",1,"How does the sentence end?

I saw Jim yelling at some guy in a military uniform with a huge red  beard. I don't know who

 OPTIONS: 
- Jim was, but he looked very unhappy.
 - the guy in uniform was, but he looked very unhappy.
Output: ","Jim was, but he looked very unhappy.","the guy in uniform was, but he looked very unhappy.",False
96,The fish ate the worm.,It,was hungry.,"The fish,The worm",0,"How does the sentence end?

The fish ate the worm.

 OPTIONS: 
- The fish was hungry.
 - The worm was hungry.
Output: ",The fish was hungry.,the fish was hungry.,True
97,The fish ate the worm.,It,was tasty.,"The fish,The worm",1,"How does the sentence end?

The fish ate the worm.

 OPTIONS: 
- The fish was tasty.
 - The worm was tasty.
Output: ",The fish was tasty.,the worm was tasty.,False
98,"I was trying to open the lock with the key, but someone had filled the  keyhole with chewing gum, and I couldn't get",it,in.,"The key,The chewing gum",0,"How does the sentence end?

I was trying to open the lock with the key, but someone had filled the  keyhole with chewing gum, and I couldn't get

 OPTIONS: 
- The key in.
 - The chewing gum in.
Output: ",The key in.,the key in.,True
99,"I was trying to open the lock with the key, but someone had filled the  keyhole with chewing gum, and I couldn't get",it,out.,"The key,The chewing gum",1,"How does the sentence end?

I was trying to open the lock with the key, but someone had filled the  keyhole with chewing gum, and I couldn't get

 OPTIONS: 
- The key out.
 - The chewing gum out.
Output: ",The key out.,the chewing gum out.,False
