,left,pron,right,candidates,selected,predicted,correct_sent,correct,number of shots,shot,input_prompt
22,"Although they ran at about the same speed, Sue beat Sally because",she,had such a good start.,"Sue,Sally",0,sue had such a good start,sue had such a good start,True,1,1,
23,"Although they ran at about the same speed, Sue beat Sally because",she,had such a bad start.,"Sue,Sally",1,sue had such a bad start,sally had such a bad start,False,1,1,
24,The sculpture rolled off the shelf because,it,wasn't anchored.,"The sculpture,The shelf",0,the sculpture wasnt anchored,the sculpture wasnt anchored,True,1,1,
25,The sculpture rolled off the shelf because,it,wasn't level.,"The sculpture,The shelf",1,the shelf wasnt level,the shelf wasnt level,True,1,1,
26,Sam's drawing was hung just above Tina's and,it,did look much better with another one below it.,"Sam's drawing,Tina's drawing",0,sams drawing did look much better with another one below it,sams drawing did look much better with another one below it,True,1,1,
27,Sam's drawing was hung just above Tina's and,it,did look much better with another one above it.,"Sam's drawing,Tina's drawing",1,sams drawing did look much better with another one above it,tinas drawing did look much better with another one above it,False,1,1,
28,Anna did a lot better than her good friend Lucy on the test because,she,had studied so hard.,"Anna,Lucy",0,anna had studied so hard,anna had studied so hard,True,1,1,
29,Anna did a lot worse than her good friend Lucy on the test because,she,had studied so hard.,"Anna,Lucy",1,lucy had studied so hard,lucy had studied so hard,True,1,1,
30,The firemen arrived after the police because,they,were coming from so far away.,"The firemen,The police",0,the police were coming from so far away,the firemen were coming from so far away,False,1,1,
31,The firemen arrived before the police because,they,were coming from so far away.,"The firemen,The police",1,the firemen were coming from so far away,the police were coming from so far away,False,1,1,
32,Frank was upset with Tom because the toaster,he,had bought from him didn't work.,"Frank,Tom",0,frank had bought from him didnt work,frank had bought from him didnt work,True,1,1,
33,Frank was upset with Tom because the toaster,he,had sold him didn't work.,"Frank,Tom",1,frank had sold him didnt work,tom had sold him didnt work,False,1,1,
34,Jim yelled at Kevin because,he,was so upset.,"Jim,Kevin",0,jim was so upset,jim was so upset,True,1,1,
35,Jim comforted Kevin because,he,was so upset.,"Jim,Kevin",1,kevin was so upset,kevin was so upset,True,1,1,
36,"The sack of potatoes had been placed above the bag of flour, so",it,had to be moved first.,"The sack of potatoes,The bag of flour",0,the sack of potatoes had to be moved first,the sack of potatoes had to be moved first,True,1,1,
37,"The sack of potatoes had been placed below the bag of flour, so",it,had to be moved first.,"The sack of potatoes,The bag of flour",1,the sack of potatoes had to be moved first,the bag of flour had to be moved first,False,1,1,
38,Pete envies Martin although,he,is very successful.,"Pete,Martin",0,martin is very successful,pete is very successful,False,1,1,
39,Pete envies Martin because,he,is very successful.,"Pete,Martin",1,martin is very successful,martin is very successful,True,1,1,
40,"The older students were bullying the younger ones, so we punished",them,.,"The older students,The younger students",0,the older students,the older students,True,1,1,
41,"The older students were bullying the younger ones, so we rescued",them,.,"The older students,The younger students",1,the younger students,the younger students,True,1,1,
42,I poured water from the bottle into the cup until,it,was empty.,"the bottle,the cup",0,the cup was empty,the bottle was empty,False,1,1,
43,I poured water from the bottle into the cup until,it,was full.,"the bottle,the cup",1,the cup was full,the cup was full,True,1,1,
44,Susan knows all about Ann's personal problems because,she,is nosy.,"Susan,Ann",0,susan is nosy,susan is nosy,True,1,1,
45,Susan knows all about Ann's personal problems because,she,is indiscreet.,"Susan,Ann",1,ann is indiscreet,ann is indiscreet,True,1,1,
46,Sid explained his theory to Mark but,he,couldn't convince him.,"Sid,Mark",0,sid couldnt convince him,sid couldnt convince him,True,1,1,
47,Sid explained his theory to Mark but,he,couldn't understand him.,"Sid,Mark",1,mark couldnt understand him,mark couldnt understand him,True,1,1,
48,"Susan knew that Ann's son had been in a car accident, so",she,told her about it.,"Susan,Ann",0,susan told her about it,susan told her about it,True,1,1,
49,"Susan knew that Ann's son had been in a car accident, because",she,told her about it.,"Susan,Ann",1,ann told her about it,ann told her about it,True,1,1,
50,"Joe's uncle can still beat him at tennis, even though",he,is 30 years younger.,"Joe,Joe's uncle",0,joes uncle is 30 years younger,joe is 30 years younger,False,1,1,
51,"Joe's uncle can still beat him at tennis, even though",he,is 30 years older.,"Joe,Joe's uncle",1,joes uncle is 30 years older,joes uncle is 30 years older,True,1,1,
52,The painting in Mark's living room shows an oak tree.,It,is to the right of the bookcase.,"The painting,The oak tree",0,the painting is to the right of the bookcase,the painting is to the right of the bookcase,True,1,1,
53,The painting in Mark's living room shows an oak tree.,It,is to the right of a house.,"The painting,The oak tree",1,the oak tree is to the right of a house,the oak tree is to the right of a house,True,1,1,
54,There is a gap in the wall. You can see the garden through,it,.,"The gap,The wall",0,the gap,the gap,True,1,1,
55,There is a gap in the wall. You can see the garden behind,it,.,"The gap,The wall",1,the gap,the wall,False,1,1,
56,The drain is clogged with hair.,It,has to be cleaned.,"The drain,The hair",0,the drain has to be cleaned,the drain has to be cleaned,True,1,1,
57,The drain is clogged with hair.,It,has to be removed.,"The drain,The hair",1,the hair has to be removed,the hair has to be removed,True,1,1,
58,"My meeting started at 4:00 and I needed to catch the train at 4:30,  so there wasn't much time. Luckily,",it,"was short, so it worked out.","The meeting,The train",0,the meeting was short so it worked out,the meeting was short so it worked out,True,1,1,
59,"My meeting started at 4:00 and I needed to catch the train at 4:30,  so there wasn't much time. Luckily,",it,"was delayed, so it worked out.","The meeting,The train",1,the train was delayed so it worked out,the train was delayed so it worked out,True,1,1,
60,"There is a pillar between me and the stage, and I can't see around",it,.,"The pillar,The stage",0,the pillar,the pillar,True,1,1,
61,"There is a pillar between me and the stage, and I can't see",it,.,"The pillar,The stage",1,the pillar,the stage,False,1,1,
62,"They broadcast an announcement, but a subway came into the station and I couldn't hear",it,.,"The announcement,The subway",0,the subway,the announcement,False,1,1,
63,"They broadcast an announcement, but a subway came into the station and I couldn't hear over",it,.,"The announcement,The subway",1,the subway,the subway,True,1,1,
64,"In the middle of the outdoor concert, the rain started falling, but",it,continued until 10.,"The concert,The rain",0,the rain continued until 10,the concert continued until 10,False,1,1,
65,"In the middle of the outdoor concert, the rain started falling, and",it,continued until 10.,"The concert,The rain",1,the rain continued until 10,the rain continued until 10,True,1,1,
66,"I used an old rag to clean the knife, and then I put",it,in the trash.,"The rag,The knife",0,the rag in the trash,the rag in the trash,True,1,1,
67,"I used an old rag to clean the knife, and then I put",it,in the drawer.,"The rag,The knife",1,the knife in the drawer,the knife in the drawer,True,1,1,
68,"Ann asked Mary what time the library closes, because",she,had forgotten.,"Ann,Mary",0,ann had forgotten,ann had forgotten,True,1,1,
69,"Ann asked Mary what time the library closes, but",she,had forgotten.,"Ann,Mary",1,ann had forgotten,mary had forgotten,False,1,1,
70,I took the water bottle out of the backpack so that,it,would be handy.,"The water bottle,The backpack",0,the water bottle would be handy,the water bottle would be handy,True,1,1,
71,I took the water bottle out of the backpack so that,it,would be lighter.,"The water bottle,The backpack",1,the backpack would be lighter,the backpack would be lighter,True,1,1,
72,I couldn't put the pot on the shelf because,it,was too tall.,"The pot,The shelf",0,the pot was too tall,the pot was too tall,True,1,1,
73,I couldn't put the pot on the shelf because,it,was too high.,"The pot,The shelf",1,the shelf was too high,the shelf was too high,True,1,1,
74,I'm sure that my map will show this building;,it,is very good.,"The map,The building",0,the map is very good,the map is very good,True,1,1,
75,I'm sure that my map will show this building;,it,is very famous.,"The map,The building",1,the map is very famous,the building is very famous,False,1,1,
76,Bob paid for Charlie's college education.,He,is very generous.,"Bob,Charlie",0,bob is very generous,bob is very generous,True,1,1,
77,Bob paid for Charlie's college education.,He,is very grateful.,"Bob,Charlie",1,charlie is very grateful,charlie is very grateful,True,1,1,
78,"Bob paid for Charlie's college education, but now Charlie acts as though it never happened.",He,is very hurt.,"Bob,Charlie",0,bob is very hurt,bob is very hurt,True,1,1,
79,"Bob paid for Charlie's college education, but now Charlie acts as though it never happened.",He,is very ungrateful.,"Bob,Charlie",1,charlie is very ungrateful,charlie is very ungrateful,True,1,1,
80,"Bob was playing cards with Adam and was way ahead. If Adam hadn't had a sudden run of good luck,",he,would have won.,"Bob,Adam",0,bob would have won,bob would have won,True,1,1,
81,"Bob was playing cards with Adam and was way ahead. If Adam hadn't had a sudden run of good luck,",he,would have lost.,"Bob,Adam",1,adam would have lost,adam would have lost,True,1,1,
82,"Adam can't leave work here until Bob arrives to replace him. If Bob had  left home for work on time,",he,would be gone by this time.,"Adam,Bob",0,adam would be gone by this time,adam would be gone by this time,True,1,1,
83,"Adam can't leave work here until Bob arrives to replace him. If Bob had  left home for work on time,",he,would be here by this time.,"Adam,Bob",1,bob would be here by this time,bob would be here by this time,True,1,1,
84,"If the con artist has succeeded in fooling Sam,",he,would have gotten a lot of money.,"The con artist,Sam",0,the con artist would have gotten a lot of money,the con artist would have gotten a lot of money,True,1,1,
85,"If the con artist has succeeded in fooling Sam,",he,would have lost a lot of money.,"The con artist,Sam",1,sam would have lost a lot of money,sam would have lost a lot of money,True,1,1,
86,"It was a summer afternoon, and the dog was sitting in the middle of the lawn. After a while, it got up and moved to a spot under the tree,  because",it,was hot.,"The dog,The spot under the tree",0,the dog was hot,the dog was hot,True,1,1,
87,"It was a summer afternoon, and the dog was sitting in the middle of the lawn. After a while, it got up and moved to a spot under the tree,  because",it,was cooler.,"The dog,The spot under the tree",1,the spot under the tree was cooler,the spot under the tree was cooler,True,1,1,
88,"The cat was lying by the mouse hole waiting for the mouse, but",it,was too impatient.,"The cat,The mouse",0,the mouse was too impatient,the cat was too impatient,False,1,1,
89,"The cat was lying by the mouse hole waiting for the mouse, but",it,was too cautious.,"The cat,The mouse",1,the mouse was too cautious,the mouse was too cautious,True,1,1,
90,Anne gave birth to a daughter last month.,She,is a very charming woman.,"Anne,Anne's daughter",0,annes daughter is a very charming woman,anne is a very charming woman,False,1,1,
91,Anne gave birth to a daughter last month.,She,is a very charming baby.,"Anne,Anne's daughter",1,annes daughter is a very charming baby,annes daughter is a very charming baby,True,1,1,
92,"Alice tried frantically to stop her daughter from chatting at the party, leaving us to wonder why",she,was behaving so strangely.,"Alice,Alice's daughter",0,alices daughter was behaving so strangely,alice was behaving so strangely,False,1,1,
93,"Alice tried frantically to stop her daughter from barking at the party, leaving us to wonder why",she,was behaving so strangely.,"Alice,Alice's daughter",1,alices daughter was behaving so strangely,alices daughter was behaving so strangely,True,1,1,
94,I saw Jim yelling at some guy in a military uniform with a huge red  beard. I don't know why,he,"was, but he looked very unhappy.","Jim,the guy in uniform",0,jim was but he looked very unhappy,jim was but he looked very unhappy,True,1,1,
95,I saw Jim yelling at some guy in a military uniform with a huge red  beard. I don't know who,he,"was, but he looked very unhappy.","Jim,the guy in uniform",1,the guy in uniform was but he looked very unhappy,the guy in uniform was but he looked very unhappy,True,1,1,
96,The fish ate the worm.,It,was hungry.,"The fish,The worm",0,the fish was hungry,the fish was hungry,True,1,1,
97,The fish ate the worm.,It,was tasty.,"The fish,The worm",1,the worm was tasty,the worm was tasty,True,1,1,
98,"I was trying to open the lock with the key, but someone had filled the  keyhole with chewing gum, and I couldn't get",it,in.,"The key,The chewing gum",0,the key in,the key in,True,1,1,
99,"I was trying to open the lock with the key, but someone had filled the  keyhole with chewing gum, and I couldn't get",it,out.,"The key,The chewing gum",1,the key out,the chewing gum out,False,1,1,
100,"The dog chased the cat, which ran up a tree.",It,waited at the bottom.,"The dog,The cat",0,the dog waited at the bottom,the dog waited at the bottom,True,1,1,
101,"The dog chased the cat, which ran up a tree.",It,waited at the top.,"The dog,The cat",1,the cat waited at the top,the cat waited at the top,True,1,1,
102,"In the storm, the tree fell down and crashed through the roof of my  house. Now, I have to get",it,removed.,"The tree,The roof",0,the tree removed,the tree removed,True,1,1,
103,"In the storm, the tree fell down and crashed through the roof of my  house. Now, I have to get",it,repaired.,"The tree,The roof",1,the roof repaired,the roof repaired,True,1,1,
104,The customer walked into the bank and stabbed one of the tellers.,He,was immediately taken to the police station.,"The customer,The teller",0,the customer was immediately taken to the police station,the customer was immediately taken to the police station,True,1,1,
105,The customer walked into the bank and stabbed one of the tellers.,He,was immediately taken to the hospital.,"The customer,The teller",1,the teller was immediately taken to the hospital,the teller was immediately taken to the hospital,True,1,1,
106,John was doing research in the library when he heard a man humming and  whistling.,He,was very annoyed.,"John,The man",0,john was very annoyed,john was very annoyed,True,1,1,
107,John was doing research in the library when he heard a man humming and  whistling.,He,was very annoying.,"John,The man",1,the man was very annoying,the man was very annoying,True,1,1,
108,John was jogging through the park when he saw a man juggling watermelons.,He,was very impressed.,"John,The juggler",0,john was very impressed,john was very impressed,True,1,1,
109,John was jogging through the park when he saw a man juggling watermelons.,He,was very impressive.,"John,The juggler",1,the juggler was very impressive,the juggler was very impressive,True,1,1,
110,Bob collapsed on the sidewalk. Soon he saw Carl coming to help.,He,was very ill.,"Bob,Carl",0,bob was very ill,bob was very ill,True,1,1,
111,Bob collapsed on the sidewalk. Soon he saw Carl coming to help.,He,was very concerned.,"Bob,Carl",1,carl was very concerned,carl was very concerned,True,1,1,
112,"Sam and Amy are passionately in love, but Amy's parents are unhappy about it, because",they,are fifteen.,"Sam and Amy,Amy's parents",0,sam and amy are fifteen,sam and amy are fifteen,True,1,1,
113,"Sam and Amy are passionately in love, but Amy's parents are unhappy about it, because",they,are snobs.,"Sam and Amy,Amy's parents",1,amys parents are snobs,amys parents are snobs,True,1,1,
114,"Mark told Pete many lies about himself, which Pete included in his book.",He,should have been more  truthful.,"Mark,Pete",0,mark should have been more truthful,mark should have been more  truthful,False,1,1,
115,"Mark told Pete many lies about himself, which Pete included in his book.",He,should have been more  skeptical.,"Mark,Pete",1,pete should have been more  skeptical,pete should have been more  skeptical,True,1,1,
116,Joe has sold his house and bought a new one a few miles away. He will be moving out of,it,on Thursday.,"The old house,The new house",0,the old house on thursday,the old house on thursday,True,1,1,
117,Joe has sold his house and bought a new one a few miles away. He will be moving into,it,on Thursday.,"The old house,The new house",1,the new house on thursday,the new house on thursday,True,1,1,
118,Many people start to read Paul's books and can't put them down.,They,are gripped because Paul writes so well.,"People,Paul's books",0,people are gripped because paul writes so well,people are gripped because paul writes so well,True,1,1,
119,Many people start to read Paul's books and can't put them down.,They,are popular because Paul writes so well.,"People,Paul's books",1,pauls books are popular because paul writes so well,pauls books are popular because paul writes so well,True,1,1,
120,Mary took out her flute and played one of her favorite pieces. She has had,it,since she was a child.,"The flute,The piece",0,the flute since she was a child,the flute since she was a child,True,1,1,
121,Mary took out her flute and played one of her favorite pieces. She has loved,it,since she was a child.,"The flute,The piece",1,the flute since she was a child,the piece since she was a child,False,1,1,
122,"Sam pulled up a chair to the piano, but",it,"was broken, so he had to stand instead.","The chair,The piano",0,the chair was broken so he had to stand instead,the chair was broken so he had to stand instead,True,1,1,
123,"Sam pulled up a chair to the piano, but",it,"was broken, so he had to sing instead.","The chair,The piano",1,the piano was broken so he had to sing instead,the piano was broken so he had to sing instead,True,1,1,
124,"Since it was raining, I carried the newspaper in my backpack to keep",it,dry.,"The newspaper,The backpack",0,the newspaper dry,the newspaper dry,True,1,1,
125,"Since it was raining, I carried the newspaper over my backpack to keep",it,dry.,"The newspaper,The backpack",1,the newspaper dry,the backpack dry,False,1,1,
126,Sara borrowed the book from the library because she needs it for an article she is working on. She reads,it,when she gets home from work.,"The book,The article",0,the book when she gets home from work,the book when she gets home from work,True,1,1,
127,Sara borrowed the book from the library because she needs it for an article she is working on. She writes,it,when she gets home from work.,"The book,The article",1,the article when she gets home from work,the article when she gets home from work,True,1,1,
128,"This morning, Joey built a sand castle on the beach, and put a toy  flag in the highest tower, but this afternoon the tide  knocked",it,down.,"The sand castle,The flag",0,the sand castle down,the sand castle down,True,1,1,
129,"This morning, Joey built a sand castle on the beach, and put a toy  flag in the highest tower, but this afternoon the wind  knocked",it,down.,"The sand castle,The flag",1,the sand castle down,the flag down,False,1,1,
130,"Jane knocked on Susan's door, but there was no answer.",She,was disappointed.,"Jane,Susan",0,jane was disappointed,jane was disappointed,True,1,1,
131,"Jane knocked on Susan's door, but there was no answer.",She,was out.,"Jane,Susan",1,susan was out,susan was out,True,1,1,
132,"Jane knocked on the door, and Susan answered it.",She,invited her to come out.,"Jane,Susan",0,susan invited her to come out,jane invited her to come out,False,1,1,
133,"Jane knocked on the door, and Susan answered it.",She,invited her to come in.,"Jane,Susan",1,susan invited her to come in,susan invited her to come in,True,1,1,
134,"Sam took French classes from Adam, because",he,was eager to speak it fluently.,"Sam,Adam",0,sam was eager to speak it fluently,sam was eager to speak it fluently,True,1,1,
135,"Sam took French classes from Adam, because",he,was known to speak it fluently.,"Sam,Adam",1,sam was known to speak it fluently,adam was known to speak it fluently,False,1,1,
136,"The path to the lake was blocked, so we couldn't use",it,.,"The path,The lake",0,the path,the path,True,1,1,
137,"The path to the lake was blocked, so we couldn't reach",it,.,"The path,The lake",1,the path,the lake,False,1,1,
138,"The sun was covered by a thick cloud all morning, but luckily, by the time the picnic started,",it,was out.,"The sun,The cloud",0,the sun was out,the sun was out,True,1,1,
139,"The sun was covered by a thick cloud all morning, but luckily, by the time the picnic started,",it,was gone.,"The sun,The cloud",1,the cloud was gone,the cloud was gone,True,1,1,
140,"We went to the lake, because a shark had been seen at the ocean beach, so",it,was a safer place to swim.,"The lake,The ocean beach",0,the lake was a safer place to swim,the lake was a safer place to swim,True,1,1,
141,"We went to the lake, because a shark had been seen at the ocean beach, so",it,was a dangerous place to swim.,"The lake,The ocean beach",1,the ocean beach was a dangerous place to swim,the ocean beach was a dangerous place to swim,True,1,1,
142,"Sam tried to paint a picture of shepherds with sheep, but",they,ended up looking more like golfers.,"The shepherds,The sheep",0,the shepherds ended up looking more like golfers,the shepherds ended up looking more like golfers,True,1,1,
143,"Sam tried to paint a picture of shepherds with sheep, but",they,ended up looking more like dogs.,"The shepherds,The sheep",1,the sheep ended up looking more like dogs,the sheep ended up looking more like dogs,True,1,1,
144,"Mary tucked her daughter Anne into bed, so that",she,could work.,"Mary,Mary's daughter",0,mary could work,mary could work,True,1,1,
145,"Mary tucked her daughter Anne into bed, so that",she,could sleep.,"Mary,Mary's daughter",1,marys daughter could sleep,marys daughter could sleep,True,1,1,
146,"Fred and Alice had very warm down coats, but",they,were not prepared for the cold in Alaska.,"Fred and Alice,coats",0,fred and alice were not prepared for the cold in alaska,fred and alice were not prepared for the cold in alaska,True,1,1,
147,"Fred and Alice had very warm down coats, but",they,were not enough for the cold in Alaska.,"Fred and Alice,coats",1,coats were not enough for the cold in alaska,coats were not enough for the cold in alaska,True,1,1,
148,Thomson visited Cooper's grave in 1765. At that date,he,had been travelling for five years.,"Thomson,Cooper",0,thomson had been travelling for five years,thomson had been travelling for five years,True,1,1,
149,Thomson visited Cooper's grave in 1765. At that date,he,had been dead for five years.,"Thomson,Cooper",1,cooper had been dead for five years,cooper had been dead for five years,True,1,1,
150,"Jackson was greatly influenced by Arnold, though",he,lived two centuries later.,"Jackson,Arnold",0,arnold lived two centuries later,jackson lived two centuries later,False,1,1,
151,"Jackson was greatly influenced by Arnold, though",he,lived two centuries earlier.,"Jackson,Arnold",1,arnold lived two centuries earlier,arnold lived two centuries earlier,True,1,1,
152,I can't cut that tree down with that axe;,it,is too thick.,"The tree,The axe",0,the tree is too thick,the tree is too thick,True,1,1,
153,I can't cut that tree down with that axe;,it,is too small.,"The tree,The axe",1,the axe is too small,the axe is too small,True,1,1,
154,The foxes are getting in at night and attacking the chickens. I shall have to kill,them,.,"The foxes,The chickens",0,the foxes,the foxes,True,1,1,
155,The foxes are getting in at night and attacking the chickens. I shall have to guard,them,.,"The foxes,The chickens",1,the foxes,the chickens,False,1,1,
156,The foxes are getting in at night and attacking the chickens.,They,have gotten very bold.,"The foxes,The chickens",0,the foxes have gotten very bold,the foxes have gotten very bold,True,1,1,
157,The foxes are getting in at night and attacking the chickens.,They,have gotten very nervous.,"The foxes,The chickens",1,the chickens have gotten very nervous,the chickens have gotten very nervous,True,1,1,
158,"Fred covered his eyes with his hands, because the wind was blowing sand around. He opened",them,when the wind stopped.,"His eyes,His hands",0,his eyes when the wind stopped,his eyes when the wind stopped,True,1,1,
159,"Fred covered his eyes with his hands, because the wind was blowing sand around. He lowered",them,when the wind stopped.,"His eyes,His hands",1,his hands when the wind stopped,his hands when the wind stopped,True,1,1,
160,"The actress used to be named Terpsichore, but she changed it to Tina a  few years ago, because she figured",it,was too hard to pronounce.,"Terpsichore,Tina",0,terpsichore was too hard to pronounce,terpsichore was too hard to pronounce,True,1,1,
161,"The actress used to be named Terpsichore, but she changed it to Tina a  few years ago, because she figured",it,was easier to pronounce.,"Terpsichore,Tina",1,tina was easier to pronounce,tina was easier to pronounce,True,1,1,
162,Fred watched TV while George went out to buy groceries. After an hour,he,got up.,"Fred,George",0,george got up,fred got up,False,1,1,
163,Fred watched TV while George went out to buy groceries. After an hour,he,got back.,"Fred,George",1,george got back,george got back,True,1,1,
164,"Fred was supposed to run the dishwasher, but he put it off,  because he wanted to watch TV. But the show turned out to be boring, so he changed his mind and turned",it,on.,"The dishwasher,The TV",0,the dishwasher on,the dishwasher on,True,1,1,
165,"Fred was supposed to run the dishwasher, but he put it off,  because he wanted to watch TV. But the show turned out to be boring, so he changed his mind and turned",it,off.,"The dishwasher,The TV",1,the tv off,the tv off,True,1,1,
166,Fred is the only man still alive who remembers my great-grandfather.,He,is a remarkable man.,"Fred,My great-grandfather",0,fred is a remarkable man,fred is a remarkable man,True,1,1,
167,Fred is the only man still alive who remembers my great-grandfather.,He,was a remarkable man.,"Fred,My great-grandfather",1,my greatgrandfather was a remarkable man,my greatgrandfather was a remarkable man,True,1,1,
168,"Fred is the only man alive who still remembers my father as an infant. When Fred first saw my father,",he,was twelve years old.,"Fred,My father",0,my father was twelve years old,fred was twelve years old,False,1,1,
169,"Fred is the only man alive who still remembers my father as an infant. When Fred first saw my father,",he,was twelve months old.,"Fred,My father",1,my father was twelve months old,my father was twelve months old,True,1,1,
170,"In July, Kamchatka declared war on Yakutsk. Since Yakutsk's army was much  better equipped and ten times larger,",they,were defeated within weeks.,"Kamchatka,Yakutsk",0,yakutsk were defeated within weeks,kamchatka were defeated within weeks,False,1,1,
171,"In July, Kamchatka declared war on Yakutsk. Since Yakutsk's army was much  better equipped and ten times larger,",they,were victorious within weeks.,"Kamchatka,Yakutsk",1,yakutsk were victorious within weeks,yakutsk were victorious within weeks,True,1,1,
172,Look! There is a minnow swimming right below that duck!,It,had better get away to safety fast!,"The minnow,The duck",0,the minnow had better get away to safety fast,the minnow had better get away to safety fast,True,1,1,
173,Look! There is a shark swimming right below that duck!,It,had better get away to safety fast!,"The shark,The duck",1,the duck had better get away to safety fast,the duck had better get away to safety fast,True,1,1,
174,"Archaeologists have concluded that humans lived in Laputa 20,000 years ago.",They,hunted for evidence on the river banks.,"Archaeologists,Prehistoric humans",0,prehistoric humans hunted for evidence on the river banks,archaeologists hunted for evidence on the river banks,False,1,1,
175,"Archaeologists have concluded that humans lived in Laputa 20,000 years ago.",They,hunted for deer on the river banks.,"Archaeologists,Prehistoric humans",1,prehistoric humans hunted for deer on the river banks,prehistoric humans hunted for deer on the river banks,True,1,1,
176,The scientists are studying three species of fish that have recently been found living in the Indian Ocean.,They,began two years ago.,"The scientists,The fish",0,the scientists began two years ago,the scientists began two years ago,True,1,1,
177,The scientists are studying three species of fish that have recently been found living in the Indian Ocean.,They,appeared two years ago.,"The scientists,The fish",1,the fish appeared two years ago,the fish appeared two years ago,True,1,1,
178,The journalists interviewed the stars of the new movie.,They,"were very persistent, so the interview lasted for a long time.","The journalists,The stars",0,the journalists were very persistent so the interview lasted for a long time,the journalists were very persistent so the interview lasted for a long time,True,1,1,
179,The journalists interviewed the stars of the new movie.,They,"were very cooperative, so the interview lasted for a long time.","The journalists,The stars",1,the stars were very cooperative so the interview lasted for a long time,the stars were very cooperative so the interview lasted for a long time,True,1,1,
180,The police arrested all of the gang members.,They,were trying to stop the drug trade in the neighborhood.,"The police,The gang members",0,the police were trying to stop the drug trade in the neighborhood,the police were trying to stop the drug trade in the neighborhood,True,1,1,
181,The police arrested all of the gang members.,They,were trying to run the drug trade in the neighborhood.,"The police,The gang members",1,the gang members were trying to run the drug trade in the neighborhood,the gang members were trying to run the drug trade in the neighborhood,True,1,1,
182,I put the cake away in the refrigerator.,It,has a lot of butter in it.,"The cake,The refrigerator",0,the cake has a lot of butter in it,the cake has a lot of butter in it,True,1,1,
183,I put the cake away in the refrigerator.,It,has a lot of leftovers in it.,"The cake,The refrigerator",1,the cake has a lot of leftovers in it,the refrigerator has a lot of leftovers in it,False,1,1,
184,Sam broke both his ankles and he's walking with crutches. But a month or so from now,they,should be better.,"The ankles,The crutches",0,the ankles should be better,the ankles should be better,True,1,1,
185,Sam broke both his ankles and he's walking with crutches. But a month or so from now,they,should be unnecessary.,"The ankles,The crutches",1,the crutches should be unnecessary,the crutches should be unnecessary,True,1,1,
