,test_sentence,score_wise_sentence
49,"Susan knew that Ann's son had been in a car accident, because she told her about it.","Sally kicked Mary and OPTIONS: - Sally apologized. - Mary apologized.[OUT]Sally apologized.[SEP]Sally gave Kelly a doll because OPTIONS: - Sally had extra dolls. - Kelly had extra dolls.[OUT]Sally had extra dolls.[SEP]The knife cut through the fence because OPTIONS: - The knife was rusty. - the fence was rusty.[OUT]the fence was rusty.[SEP]Wall Street was bailed out by the government because OPTIONS: - Wall Street were on the verge of collapsing. - the government were on the verge of collapsing.[OUT]Wall Street were on the verge of collapsing.[SEP]Master Wong had to come to the defense of his pupil, Lun-Xiu, but OPTIONS: - Master Wong is not confident  - LunXiu is not confident [OUT]Master Wong is not confident [SEP]The dumpsters arrived each day to retrieve the garbage of the population because OPTIONS: - The dumpsters produced a lot of garbage every day. - the population produced a lot of garbage every day.[OUT]the population produced a lot of garbage every day.[SEP]To save the world, Liu Kang must defeat Shang Hai in mortal combat, but if OPTIONS: - Liu Kang fails, then the world as  - Shang Hai fails, then the world as [OUT]Liu Kang fails, then the world as [SEP]The invaders showed no mercy to the defenders because OPTIONS: - The invaders are a vicious and unforgiving people. - the defenders are a vicious and unforgiving people.[OUT]The invaders are a vicious and unforgiving people.[SEP]Chrome is finally set to pull ahead of Firefox in November so OPTIONS: - Chrome are trying hard to prevent their users from switching. - Firefox are trying hard to prevent their users from switching.[OUT]Firefox are trying hard to prevent their users from switching.[SEP]Deal sites that monitor stores will be active during Thanksgiving weekend because OPTIONS: - Deal sites will be offering huge discount during this shopping weekend. - stores will be offering huge discount during this shopping weekend.[OUT]stores will be offering huge discount during this shopping weekend.[SEP]"
50,"Joe's uncle can still beat him at tennis, even though he is 30 years younger.","Steve scratched Johnny so OPTIONS: - Steve became angry. - Johnny became angry.[OUT]Johnny became angry.[SEP]Google bought Motorola because OPTIONS: - Google want its customer base. - Motorola want its customer base.[OUT]Google want its customer base.[SEP]John tricked Bill because OPTIONS: - John was slow-witted. - Bill was slow-witted.[OUT]Bill was slow-witted.[SEP]Stargate Atlantis was replaced by Stargate Universe since OPTIONS: - Stargate Atlantis were hoping that this show would do better in the ratings. - Stargate Universe were hoping that this show would do better in the ratings.[OUT]Stargate Universe were hoping that this show would do better in the ratings.[SEP]Liu Kang used the element of water against Sub Zero since OPTIONS: - Liu Kang was able to turn it into ice as a weapon. - Sub Zero was able to turn it into ice as a weapon.[OUT]Liu Kang was able to turn it into ice as a weapon.[SEP]The Drill Sergeants trained the troops aggressively so OPTIONS: - The Drill Sergeants could prepare them for the impending war. - the troops could prepare them for the impending war.[OUT]The Drill Sergeants could prepare them for the impending war.[SEP]Amazon offers a generous credit program for college books because OPTIONS: - Amazon want students to come back and use their credit for more purchases. - college books want students to come back and use their credit for more purchases.[OUT]Amazon want students to come back and use their credit for more purchases.[SEP]Peacocks are considered very majestic birds by bird watchers, but OPTIONS: - Peacocks know it is just a perception of how  - bird watchers know it is just a perception of how [OUT]bird watchers know it is just a perception of how [SEP]Professors give a lot of advice to students, but OPTIONS: - Professors rarely care. - students rarely care.[OUT]students rarely care.[SEP]The US president had a meeting with the Chinese president, where OPTIONS: - The US president told him to release political prisoners. - the Chinese president told him to release political prisoners.[OUT]The US president told him to release political prisoners.[SEP]"
51,"Joe's uncle can still beat him at tennis, even though he is 30 years older.",Jeremy annoyed Justin so OPTIONS: - Jeremy can have the room. - Justin can have the room.[OUT]Jeremy can have the room.[SEP]The rock melted in the lava because OPTIONS: - The rock was pushed. - the lava was pushed.[OUT]The rock was pushed.[SEP]A dog chewed a bone and OPTIONS: - A dog became wet. - a bone became wet.[OUT]a bone became wet.[SEP]The separatists launched a surprise attack against the empire so OPTIONS: - The separatists could turn the tide of battle. - the empire could turn the tide of battle.[OUT]The separatists could turn the tide of battle.[SEP]Rocky won the match with Richard because OPTIONS: - Rocky had no energy. - Richard had no energy.[OUT]Richard had no energy.[SEP]John bored Bill because OPTIONS: - John was easily bored. - Bill was easily bored.[OUT]Bill was easily bored.[SEP]Blue Thunder scored more goals than Green Hogs since OPTIONS: - Blue Thunder are not very good at the game. - Green Hogs are not very good at the game.[OUT]Green Hogs are not very good at the game.[SEP]The new knives are better than the old knives since OPTIONS: - new knives are losing their sharp edge due to constant use. - old knives are losing their sharp edge due to constant use.[OUT]old knives are losing their sharp edge due to constant use.[SEP]Intel sued IntelSpec since OPTIONS: - Intel are trying to protect their trademark name. - IntelSpec are trying to protect their trademark name.[OUT]Intel are trying to protect their trademark name.[SEP]Sharon was not able to share her supplies with Molly because OPTIONS: - Sharon did not have enough to spare. - Molly did not have enough to spare.[OUT]Sharon did not have enough to spare.[SEP]
52,The painting in Mark's living room shows an oak tree. It is to the right of the bookcase.,"Randy went to Nick's store, and looked at OPTIONS: - Randy groceries. - Nick groceries.[OUT]Nick groceries.[SEP]The golfers waved on the players because OPTIONS: - The golfers were holding them up. - the players were holding them up.[OUT]The golfers were holding them up.[SEP]David hit Bill and OPTIONS: - David cried. - Bill cried.[OUT]Bill cried.[SEP]John tried to bake with Michael, but OPTIONS: - John did not have any eggs. - Michael did not have any eggs.[OUT]John did not have any eggs.[SEP]John kicked Bill because OPTIONS: - John was angry. - Bill was angry.[OUT]John was angry.[SEP]Hybrid cars are much more fuel efficient than gasoline powered cars, but OPTIONS: - Hybrid cars have not caught on in popularity yet. - gasoline powered cars have not caught on in popularity yet.[OUT]Hybrid cars have not caught on in popularity yet.[SEP]Kim Kardashian has already followed in the steps of Demi Moore and getting divorced, because OPTIONS: - Kim Kardashian also could not come to terms with her husband. - Demi Moore also could not come to terms with her husband.[OUT]Kim Kardashian also could not come to terms with her husband.[SEP]The Disney characters at Disney World entertain the audience since OPTIONS: - The Disney characters are paying good money to having an enjoyable experience. - the audience are paying good money to having an enjoyable experience.[OUT]the audience are paying good money to having an enjoyable experience.[SEP]The Apes were determined to be contaminated by disease specialists, but OPTIONS: - The Apes refused to admit their fault. - disease specialists refused to admit their fault.[OUT]disease specialists refused to admit their fault.[SEP]Jack is an optimist, and Adam is a pessimist, then OPTIONS: - Jack looks at the cup half full. - Adam looks at the cup half full.[OUT]Jack looks at the cup half full.[SEP]"
53,The painting in Mark's living room shows an oak tree. It is to the right of a house.,"The company declared bonus for the employees because OPTIONS: - The company made huge profits. - the employees made huge profits.[OUT]The company made huge profits.[SEP]Stephanie gave Brandy flowers because OPTIONS: - Stephanie was sick. - Brandy was sick.[OUT]Brandy was sick.[SEP]The teachers failed the students because OPTIONS: - The teachers answered the test incorrectly. - the students answered the test incorrectly.[OUT]the students answered the test incorrectly.[SEP]The professor highly recommends the student because OPTIONS: - The professor appreciates an inquisitive mind. - the student appreciates an inquisitive mind.[OUT]The professor appreciates an inquisitive mind.[SEP]The judge was fond of the contestant so OPTIONS: - The judge received the gold medal. - the contestant received the gold medal.[OUT]the contestant received the gold medal.[SEP]John bored Bill because OPTIONS: - John was boring. - Bill was boring.[OUT]John was boring.[SEP]John gave a large sum of money to Bill because OPTIONS: - John needed a loan. - Bill needed a loan.[OUT]Bill needed a loan.[SEP]Neil Patrick Harris is a better singer than Dave Chappelle, since OPTIONS: - Neil Patrick Harris had experience from Broadway. - Dave Chappelle had experience from Broadway.[OUT]Neil Patrick Harris had experience from Broadway.[SEP]The monsters at the haunted house chased the children because OPTIONS: - The monsters are trying to scare them. - the children are trying to scare them.[OUT]The monsters are trying to scare them.[SEP]The preservation society managed to rescue a rare species of birds so OPTIONS: - The preservation society will have the chance to survive. - a rare species of birds will have the chance to survive.[OUT]a rare species of birds will have the chance to survive.[SEP]"
54,There is a gap in the wall. You can see the garden through it .,"Students hate exams because OPTIONS: - Students are lazy. - exams are lazy.[OUT]Students are lazy.[SEP]Johnson wanted to make friendship with David, because OPTIONS: - Johnson is well connected. - David is well connected.[OUT]David is well connected.[SEP]Allen laughed at Jimmy because OPTIONS: - Allen was making fun of him. - Jimmy was making fun of him.[OUT]Allen was making fun of him.[SEP]The manager fired the intern because OPTIONS: - The manager was upset. - the intern was upset.[OUT]The manager was upset.[SEP]Dad yelled at Sam because OPTIONS: - Dad did not go to school. - Sam did not go to school.[OUT]Sam did not go to school.[SEP]The kidnapper will not return Trent Reznor until OPTIONS: - The kidnapper agrees to a private performance. - Trent Reznor agrees to a private performance.[OUT]Trent Reznor agrees to a private performance.[SEP]The mother encouraged her daughter to sing a difficult song so OPTIONS: - The mother would be challenged. - her daughter would be challenged.[OUT]her daughter would be challenged.[SEP]Hybrid cars produce less pollution than diesel trucks because OPTIONS: - Hybrid cars use less gas and more electricity. - diesel trucks use less gas and more electricity.[OUT]Hybrid cars use less gas and more electricity.[SEP]Kim Kardashian has already followed in the steps of Demi Moore and getting divorced, but OPTIONS: - Kim Kardashian would not want people to experience her same sadness. - Demi Moore would not want people to experience her same sadness.[OUT]Demi Moore would not want people to experience her same sadness.[SEP]A motorboat turns the propeller pushing the water backwards, thus OPTIONS: - A motorboat moves forward. - the propeller moves forward.[OUT]A motorboat moves forward.[SEP]"
55,There is a gap in the wall. You can see the garden behind it .,"Jimbo was running from Bobbert because OPTIONS: - Jimbo wanted to get to the car first. - Bobbert wanted to get to the car first.[OUT]Jimbo wanted to get to the car first.[SEP]The team decided to cancel their relations with AT&T Corporate because OPTIONS: - The team ran out of money. - ATT Corporate ran out of money.[OUT]The team ran out of money.[SEP]Ryan won the presidency against Tom because OPTIONS: - Ryan was not fit for office. - Tom was not fit for office.[OUT]Tom was not fit for office.[SEP]Software gives more profit over hardware since OPTIONS: - Software are costs with producing the materials each time. - hardware are costs with producing the materials each time.[OUT]hardware are costs with producing the materials each time.[SEP]Amazon's Kindle Fire may surpass Apple's IPad because OPTIONS: - Amazon offer a very competitive low price. - Apple offer a very competitive low price.[OUT]Amazon offer a very competitive low price.[SEP]Conan O'Brien replaced Jay Leno as host of Late Night, however, OPTIONS: - Conan OBrien was soon removed from that timeslot due to him coming back. - Jay Leno was soon removed from that timeslot due to him coming back.[OUT]Conan OBrien was soon removed from that timeslot due to him coming back.[SEP]McDonalds has many more restaurants than Chick Filet worldwide because OPTIONS: - McDonalds are a globally known. - Chick Filet are a globally known.[OUT]McDonalds are a globally known.[SEP]Cartman finally decided to get rid of his stuffed animal, Clyde Frog, because OPTIONS: - Cartman was told by his friends to grow up. - Clyde Frog was told by his friends to grow up.[OUT]Cartman was told by his friends to grow up.[SEP]American Airlines offers upgrades for their preferred passengers since OPTIONS: - American Airlines want them to continue flying with them. - their preferred passengers want them to continue flying with them.[OUT]American Airlines want them to continue flying with them.[SEP]Tiger Woods dropped Randy as his caddy because OPTIONS: - Tiger Woods was not satisfied with his work. - Randy was not satisfied with his work.[OUT]Tiger Woods was not satisfied with his work.[SEP]"
56,The drain is clogged with hair. It has to be cleaned.,"Gary envied Bill because OPTIONS: - Gary was poor. - Bill was poor.[OUT]Gary was poor.[SEP]Sally kicked Mary and OPTIONS: - Sally apologized. - Mary apologized.[OUT]Sally apologized.[SEP]The government wants to prohibit the people from playing chess on Monday because OPTIONS: - The government want Mondays to be more productive. - the people want Mondays to be more productive.[OUT]The government want Mondays to be more productive.[SEP]Coins are better than dollars because OPTIONS: - Coins weigh more. - dollars weigh more.[OUT]Coins weigh more.[SEP]Tom likes John because OPTIONS: - Tom likes people with cool names. - John likes people with cool names.[OUT]Tom likes people with cool names.[SEP]The mother encouraged her daughter to sing a difficult song so OPTIONS: - The mother could see her become better. - her daughter could see her become better.[OUT]The mother could see her become better.[SEP]The Japanese eat a lot more seafood than the Americans because OPTIONS: - The Japanese have a lot of people who do not live near the ocean. - the Americans have a lot of people who do not live near the ocean.[OUT]the Americans have a lot of people who do not live near the ocean.[SEP]Consultants are hired by companies to perform specialized tasks, but OPTIONS: - Consultants do not always have money in the budget to hire these services. - companies do not always have money in the budget to hire these services.[OUT]companies do not always have money in the budget to hire these services.[SEP]American Airlines offers upgrades for their preferred passengers so OPTIONS: - American Airlines continue choosing their airlines over others. - their preferred passengers continue choosing their airlines over others.[OUT]their preferred passengers continue choosing their airlines over others.[SEP]Amazon offers a generous credit program for college books since OPTIONS: - Amazon can be resold again to other buyers. - college books can be resold again to other buyers.[OUT]college books can be resold again to other buyers.[SEP]"
57,The drain is clogged with hair. It has to be removed.,"Kurt flew in Alex's plane, and OPTIONS: - Kurt asked him to come again. - Alex asked him to come again.[OUT]Alex asked him to come again.[SEP]Jill was writing on a pad for Jane because OPTIONS: - Jill needed directions. - Jane needed directions.[OUT]Jane needed directions.[SEP]Jim went to Hal's house, and brought OPTIONS: - Jim dog. - Hal dog.[OUT]Jim dog.[SEP]Janice bought Kenda a car because OPTIONS: - Janice needed one. - Kenda needed one.[OUT]Kenda needed one.[SEP]The students read the books because OPTIONS: - The students were learning. - the books were learning.[OUT]The students were learning.[SEP]Doctor Conrad Murray is accused of negligence in Michael Jackson's death because OPTIONS: - Doctor Conrad Murray was the doctor on site when the drug overdose took place. - Michael Jackson was the doctor on site when the drug overdose took place.[OUT]Doctor Conrad Murray was the doctor on site when the drug overdose took place.[SEP]DC Universe went free to play while World of Warcraft is subscription based, because OPTIONS: - DC Universe would not maintain enough users to continue a monthly payment plan. - World of Warcraft would not maintain enough users to continue a monthly payment plan.[OUT]DC Universe would not maintain enough users to continue a monthly payment plan.[SEP]LA Galaxy is constantly seeking famous players to fill their ranks, but OPTIONS: - LA Galaxy are constantly sought after by many teams with offers. - famous players are constantly sought after by many teams with offers.[OUT]famous players are constantly sought after by many teams with offers.[SEP]Chase Sapphire has a 24 hour service line for card holders so OPTIONS: - Chase Sapphire would be available to help if their customer encounters trouble. - card holders would be available to help if their customer encounters trouble.[OUT]Chase Sapphire would be available to help if their customer encounters trouble.[SEP]The plane shot the rocket at the target, then OPTIONS: - the rocket hit the target. - the target hit the target.[OUT]the rocket hit the target.[SEP]"
58,"My meeting started at 4:00 and I needed to catch the train at 4:30,  so there wasn't much time. Luckily, it was short, so it worked out.","Kevin stared at Michael and OPTIONS: - Kevin got angry. - Michael got angry.[OUT]Michael got angry.[SEP]The students protested against the new policies because OPTIONS: - The students were too strict. - the new policies were too strict.[OUT]the new policies were too strict.[SEP]Sega lost to Nintendo because OPTIONS: - Sega were inferior. - Nintendo were inferior.[OUT]Sega were inferior.[SEP]A dog chewed a bone and OPTIONS: - A dog barked. - a bone barked.[OUT]A dog barked.[SEP]Stargate Atlantis was replaced by Stargate Universe since OPTIONS: - Stargate Atlantis were hoping that this show would do better in the ratings. - Stargate Universe were hoping that this show would do better in the ratings.[OUT]Stargate Universe were hoping that this show would do better in the ratings.[SEP]The Board of Directors fired the management from the company since OPTIONS: - The Board of Directors were not managing the company well. - the management were not managing the company well.[OUT]the management were not managing the company well.[SEP]Groupon lied about their earnings to the stakeholders since OPTIONS: - Groupon wanted to keep the value of the company high. - the stakeholders wanted to keep the value of the company high.[OUT]Groupon wanted to keep the value of the company high.[SEP]Kathy looked after the children of Mrs. Faith because OPTIONS: - Kathy is quite capable as a baby sitter. - Mrs Faith is quite capable as a baby sitter.[OUT]Kathy is quite capable as a baby sitter.[SEP]Kenmore is known for making superb appliances which is sold at Sears since OPTIONS: - Kenmore constantly leave customers happy with their high quality brand. - Sears constantly leave customers happy with their high quality brand.[OUT]Kenmore constantly leave customers happy with their high quality brand.[SEP]Doctor Igor was interrogated by Colonel Marshall, although OPTIONS: - Doctor Igor did not have good interrogation skills. - Colonel Marshall did not have good interrogation skills.[OUT]Colonel Marshall did not have good interrogation skills.[SEP]"
59,"My meeting started at 4:00 and I needed to catch the train at 4:30,  so there wasn't much time. Luckily, it was delayed, so it worked out.","The youth outran the old man because OPTIONS: - The youth broke his hip. - the old man broke his hip.[OUT]the old man broke his hip.[SEP]Thomas pursued Peter, but OPTIONS: - Thomas escaped. - Peter escaped.[OUT]Peter escaped.[SEP]Mike tried to follow Tom but OPTIONS: - Mike could not keep up. - Tom could not keep up.[OUT]Mike could not keep up.[SEP]The boy laughed at his friend because OPTIONS: - The boy heard the joke. - his friend heard the joke.[OUT]The boy heard the joke.[SEP]Frosted Flakes is tastier than Fiber One because OPTIONS: - Frosted Flakes use frosting on the cereal. - Fiber One use frosting on the cereal.[OUT]Frosted Flakes use frosting on the cereal.[SEP]Gas powered fireplaces are environmentally friendly as compared to traditional fireplaces since OPTIONS: - Gas powered fireplaces require wood to function. - traditional fireplaces require wood to function.[OUT]traditional fireplaces require wood to function.[SEP]The Mavericks are able to sell much merchandise to fans this season, and OPTIONS: - The Mavericks just want it since  - fans just want it since [OUT]fans just want it since [SEP]The Disney characters at Disney World entertain the audience since OPTIONS: - The Disney characters are paying good money to having an enjoyable experience. - the audience are paying good money to having an enjoyable experience.[OUT]the audience are paying good money to having an enjoyable experience.[SEP]Ken has Adam's bike, because OPTIONS: - Ken took it from him. - Adam took it from him.[OUT]Ken took it from him.[SEP]The US president had a meeting with the Chinese president, where OPTIONS: - The US president told him not to interfere with China's internal policy. - the Chinese president told him not to interfere with China's internal policy.[OUT]the Chinese president told him not to interfere with China's internal policy.[SEP]"
60,"There is a pillar between me and the stage, and I can't see around it .","Michael backed Bill because John really liked OPTIONS: - Michael . - Bill .[OUT]Bill .[SEP]The gardener watered the owner's rose because OPTIONS: - The gardener paid him for that. - the owner paid him for that.[OUT]the owner paid him for that.[SEP]Bill was able to steal the banana from Ken because OPTIONS: - Bill was quick. - Ken was quick.[OUT]Bill was quick.[SEP]A monkey ate a lizard and OPTIONS: - A monkey screamed in pain. - a lizard screamed in pain.[OUT]a lizard screamed in pain.[SEP]The police arrested the rioters because OPTIONS: - The police were causing trouble. - the rioters were causing trouble.[OUT]the rioters were causing trouble.[SEP]Neil Patrick Harris is a better singer than Dave Chappelle, since OPTIONS: - Neil Patrick Harris had experience from Broadway. - Dave Chappelle had experience from Broadway.[OUT]Neil Patrick Harris had experience from Broadway.[SEP]Google is catching up to Firefox in the percentage of users, because OPTIONS: - Google have been getting too bulky and slow. - Firefox have been getting too bulky and slow.[OUT]Firefox have been getting too bulky and slow.[SEP]Amazon recently upstaged Gamestop on Battlefield 3 pre-orders because OPTIONS: - Amazon are not able to match their competitor's aggressive pricing. - Gamestop are not able to match their competitor's aggressive pricing.[OUT]Gamestop are not able to match their competitor's aggressive pricing.[SEP]Sprint is now selling the IPhone just like Verizon, because OPTIONS: - Sprint want to also attract customers who are fans of the IPhone. - Verizon want to also attract customers who are fans of the IPhone.[OUT]Sprint want to also attract customers who are fans of the IPhone.[SEP]Insurance companies charge a premium if people had an accident before because OPTIONS: - Insurance companies will have to pay out more most likely for that person. - people will have to pay out more most likely for that person.[OUT]Insurance companies will have to pay out more most likely for that person.[SEP]"
61,"There is a pillar between me and the stage, and I can't see it .","Google bought Motorola because OPTIONS: - Google want its customer base. - Motorola want its customer base.[OUT]Google want its customer base.[SEP]Keith fired Blaine but OPTIONS: - Keith did not regret. - Blaine did not regret.[OUT]Keith did not regret.[SEP]Jill was writing on a pad for Jane because OPTIONS: - Jill wanted to leave her address. - Jane wanted to leave her address.[OUT]Jill wanted to leave her address.[SEP]Hill joined Obama because Bill suggested OPTIONS: - Hill . - Obama .[OUT]Hill .[SEP]John kicked Bill because OPTIONS: - John was being mean. - Bill was being mean.[OUT]Bill was being mean.[SEP]Sharks are constantly eating fishes because OPTIONS: - Sharks are the main source of food in the ocean. - fishes are the main source of food in the ocean.[OUT]fishes are the main source of food in the ocean.[SEP]The Minecraft developers managed to win their case regarding copyright infringement against Bethesda Studios, but OPTIONS: - The Minecraft developers will probably file another lawsuit again. - Bethesda Studios will probably file another lawsuit again.[OUT]Bethesda Studios will probably file another lawsuit again.[SEP]Steve Urkel was always annoying Carl Winslow in the show, ""Family Matters"", because OPTIONS: - Steve Urkel is quite annoying by nature. - Carl Winslow is quite annoying by nature.[OUT]Steve Urkel is quite annoying by nature.[SEP]Martial Arts actors are often accused as being frauds by the public since OPTIONS: - Martial Arts actors can only fight in fake scenarios. - the public can only fight in fake scenarios.[OUT]Martial Arts actors can only fight in fake scenarios.[SEP]Americans preferred Obama to McCain because OPTIONS: - Obama was too old. - McCain was too old.[OUT]McCain was too old.[SEP]"
62,"They broadcast an announcement, but a subway came into the station and I couldn't hear it .","Paula liked Ness more than Pokey because OPTIONS: - Ness was nice to her. - Pokey was nice to her.[OUT]Ness was nice to her.[SEP]Steve threw the bowling ball down the lane when OPTIONS: - the bowling ball returned. - the lane returned.[OUT]the bowling ball returned.[SEP]Batman caught the thief, and OPTIONS: - Batman plead innocence. - the thief plead innocence.[OUT]the thief plead innocence.[SEP]The government officials publicly apologized to the people because OPTIONS: - The government officials were forced to. - the people were forced to.[OUT]The government officials were forced to.[SEP]The gun owner fired at the burglar because OPTIONS: - The gun owner stole items. - the burglar stole items.[OUT]the burglar stole items.[SEP]Pirates are always compared to ninjas, but OPTIONS: - Pirates prefer to fight at sea. - ninjas prefer to fight at sea.[OUT]Pirates prefer to fight at sea.[SEP]Will Smith and his new movie is highly anticipated by movie critic, John Billic, because OPTIONS: - Will Smith felt his role was well played in the previous movies. - John Billic felt his role was well played in the previous movies.[OUT]John Billic felt his role was well played in the previous movies.[SEP]Scribes were often hired by nobles in the Medieval period although OPTIONS: - Scribes were able to read and write themselves. - nobles were able to read and write themselves.[OUT]nobles were able to read and write themselves.[SEP]The Starbuck employees make all the drinks on the spot for morning customers so OPTIONS: - The Starbuck employees get their drinks nice and hot. - morning customers get their drinks nice and hot.[OUT]morning customers get their drinks nice and hot.[SEP]Several energy companies are under investigation by Congress since OPTIONS: - Several energy companies need to find out if the money was mishandled. - Congress need to find out if the money was mishandled.[OUT]Congress need to find out if the money was mishandled.[SEP]"
63,"They broadcast an announcement, but a subway came into the station and I couldn't hear over it .","Luigi rescued Mario because OPTIONS: - Luigi was the only one who can. - Mario was the only one who can.[OUT]Luigi was the only one who can.[SEP]Jill was writing on a pad for Jane because OPTIONS: - Jill wanted to leave her address. - Jane wanted to leave her address.[OUT]Jill wanted to leave her address.[SEP]Brock understood the material better than Tracy because OPTIONS: - Brock was paying attention. - Tracy was paying attention.[OUT]Brock was paying attention.[SEP]Stephen King called Spielberg so that OPTIONS: - Stephen King could ask for some money. - Spielberg could ask for some money.[OUT]Stephen King could ask for some money.[SEP]God created Adam for good but OPTIONS: - God could not control his temptation. - Adam could not control his temptation.[OUT]Adam could not control his temptation.[SEP]Hybrid cars produce less pollution than diesel trucks because OPTIONS: - Hybrid cars use pure gasoline. - diesel trucks use pure gasoline.[OUT]diesel trucks use pure gasoline.[SEP]Parents send their children to bed, because OPTIONS: - Parents want them to have enough sleep for school in the morning. - their children want them to have enough sleep for school in the morning.[OUT]Parents want them to have enough sleep for school in the morning.[SEP]Monster trucks would crush cars since OPTIONS: - Monster trucks are so massive. - cars are so massive.[OUT]Monster trucks are so massive.[SEP]Master Sifu passes wisdom on to Jack because OPTIONS: - Master Sifu has much to teach him. - Jack has much to teach him.[OUT]Master Sifu has much to teach him.[SEP]There is currently more work on coreference resolution than on chunking because OPTIONS: - coreference resolution is a problem that is still far from being solved. - chunking is a problem that is still far from being solved.[OUT]coreference resolution is a problem that is still far from being solved.[SEP]"
64,"In the middle of the outdoor concert, the rain started falling, but it continued until 10.","The bird perched on the limb and OPTIONS: - The bird bent. - the limb bent.[OUT]the limb bent.[SEP]The sword was stuck in the tree because OPTIONS: - The sword was wedged in there really well. - the tree was wedged in there really well.[OUT]The sword was wedged in there really well.[SEP]Todd told Bill that OPTIONS: - Todd should run the presidency race. - Bill should run the presidency race.[OUT]Bill should run the presidency race.[SEP]The advisor told the President that OPTIONS: - The advisor was resigning. - the President was resigning.[OUT]The advisor was resigning.[SEP]The US army fought the Taliban because OPTIONS: - The US army are trying to prevent terrorism. - the Taliban are trying to prevent terrorism.[OUT]The US army are trying to prevent terrorism.[SEP]KFC sells better than Popeyes since OPTIONS: - KFC have better chicken. - Popeyes have better chicken.[OUT]KFC have better chicken.[SEP]Pirates are always compared to ninjas, but OPTIONS: - Pirates prefer to fight at sea. - ninjas prefer to fight at sea.[OUT]Pirates prefer to fight at sea.[SEP]Channel 6 news team gave a play by play coverage of the escaped convicts because OPTIONS: - Channel 6 news team needed to report the news. - the escaped convicts needed to report the news.[OUT]Channel 6 news team needed to report the news.[SEP]Uncharted 3 did not introduce any new ideas since their last game, Uncharted 2, but OPTIONS: - Uncharted 3 is still going to be a fun game. - Uncharted 2 is still going to be a fun game.[OUT]Uncharted 2 is still going to be a fun game.[SEP]The hammer hit the bullet, so OPTIONS: - The hammer shot. - the bullet shot.[OUT]the bullet shot.[SEP]"
65,"In the middle of the outdoor concert, the rain started falling, and it continued until 10.","The kitten played with the yarn because OPTIONS: - The kitten was bored. - the yarn was bored.[OUT]The kitten was bored.[SEP]Bill returned Jim twenty dollars because OPTIONS: - Bill lent money. - Jim lent money.[OUT]Jim lent money.[SEP]John bought a beer for Bill because OPTIONS: - John likes cool guys. - Bill likes cool guys.[OUT]John likes cool guys.[SEP]Jack shouted at Bill because OPTIONS: - Jack crashed the car. - Bill crashed the car.[OUT]Bill crashed the car.[SEP]The man asked Mark the question again because OPTIONS: - The man was curious. - Mark was curious.[OUT]The man was curious.[SEP]The employees of Six Flags denied the customers access to the ride, but OPTIONS: - The employees of Six Flags can still go on other rides. - the customers can still go on other rides.[OUT]the customers can still go on other rides.[SEP]NATO forces did precision predator strikes for the Libyan rebels since OPTIONS: - NATO forces had the predator vehicles. - Libyan rebels had the predator vehicles.[OUT]NATO forces had the predator vehicles.[SEP]Shawn Jun performed a huge upset over four time champion Leon Sung but OPTIONS: - Shawn Jun still received a large sum of money for being a runner up. - Leon Sung still received a large sum of money for being a runner up.[OUT]Leon Sung still received a large sum of money for being a runner up.[SEP]Policemen advocated the use of wire taps to track terrorists, because OPTIONS: - Policemen could not catch them without those tools. - terrorists could not catch them without those tools.[OUT]Policemen could not catch them without those tools.[SEP]There is more NLP work on English than on Bengali because OPTIONS: - English has little linguistic resources. - Bengali has little linguistic resources.[OUT]Bengali has little linguistic resources.[SEP]"
66,"I used an old rag to clean the knife, and then I put it in the trash.","Bill triumphed over John in the boxing ring because OPTIONS: - Bill fought cowardly. - John fought cowardly.[OUT]John fought cowardly.[SEP]Tim bought Eric a gecko, but OPTIONS: - Tim did not like it. - Eric did not like it.[OUT]Eric did not like it.[SEP]Lemuel painted Jim a piece of art since OPTIONS: - Lemuel requested it. - Jim requested it.[OUT]Jim requested it.[SEP]Rocky won the match with Richard because OPTIONS: - Rocky had no energy. - Richard had no energy.[OUT]Richard had no energy.[SEP]Modern Warfare has big expectations to live up to due to the successful release of Battlefield 3 since OPTIONS: - Modern Warfare need to pull fans to their game instead. - Battlefield 3 need to pull fans to their game instead.[OUT]Modern Warfare need to pull fans to their game instead.[SEP]Kenmore is known for making superb appliances which is sold at Sears, because OPTIONS: - Kenmore are the best place to sell top brand appliances. - Sears are the best place to sell top brand appliances.[OUT]Sears are the best place to sell top brand appliances.[SEP]Skype has entered a partnership with Facebook, and OPTIONS: - Skype hope that more members join their social network. - Facebook hope that more members join their social network.[OUT]Facebook hope that more members join their social network.[SEP]Chrome is finally set to pull ahead of Firefox in November so OPTIONS: - Chrome are trying hard to prevent their users from switching. - Firefox are trying hard to prevent their users from switching.[OUT]Firefox are trying hard to prevent their users from switching.[SEP]Ken has Adam's bike, because OPTIONS: - Ken took it from him. - Adam took it from him.[OUT]Ken took it from him.[SEP]"
