left,pron,right,candidates,selected,input_prompt,predicted,correct_sent,correct,number of shots
The delivery truck zoomed by the school bus because,it,was going so fast.,"the delivery truck,the school bus",0,"How does the sentence end?

UPS provides much convenience to the customers with their drop off service since

OPTIONS: 
- UPS
- the customers
Output: UPS make the shipping of packages extremely easy.

How does the sentence end?

Santa Claus and his elves distributed millions of presents worldwide to the children of the world, but

OPTIONS: 
- Santa Claus and his elves
- the children of the world
Output: the children of the world do not all believe in them being able to give presents worldwide in a night.

How does the sentence end?

UPS provides much convenience to the customers with their drop off service so

OPTIONS: 
- UPS
- the customers
Output: the customers are encouraged to bring their packages in more often.

How does the sentence end?

The dumpsters arrived each day to retrieve the garbage of the population, but

OPTIONS: 
- The dumpsters
- the population
Output: The dumpsters can be called to arrive if requested.

How does the sentence end?

Monster trucks would crush cars since

OPTIONS: 
- Monster trucks
- cars
Output: Monster trucks are so massive.

How does the sentence end ?

The delivery truck zoomed by the school bus because

OPTIONS: 
- the delivery truck was going so fast.
- the school bus was going so fast.
Thought: Use similar thought as before.
Output: ",the delivery truck was going so fast,the delivery truck was going so fast,True,5
The delivery truck zoomed by the school bus because,it,was going so slow.,"the delivery truck,the school bus",1,"How does the sentence end?

UPS provides much convenience to the customers with their drop off service since

OPTIONS: 
- UPS
- the customers
Output: UPS make the shipping of packages extremely easy.

How does the sentence end?

The dumpsters arrived each day to retrieve the garbage of the population, but

OPTIONS: 
- The dumpsters
- the population
Output: The dumpsters can be called to arrive if requested.

How does the sentence end?

Santa Claus and his elves distributed millions of presents worldwide to the children of the world, but

OPTIONS: 
- Santa Claus and his elves
- the children of the world
Output: the children of the world do not all believe in them being able to give presents worldwide in a night.

How does the sentence end?

Santa Claus and his elves distributed millions of presents worldwide to the children of the world, because

OPTIONS: 
- Santa Claus and his elves
- the children of the world
Output: Santa Claus and his elves wish to reward those who behaved.

How does the sentence end?

Amazon offers a generous credit program for college books because

OPTIONS: 
- Amazon
- college books
Output: Amazon want students to come back and use their credit for more purchases.

How does the sentence end ?

The delivery truck zoomed by the school bus because

OPTIONS: 
- the delivery truck was going so slow.
- the school bus was going so slow.
Thought: Use similar thought as before.
Output: ",the school bus was going so slow,the school bus was going so slow,True,5
Frank felt vindicated when his longtime rival Bill revealed that,he,was the winner of the competition.,"Frank,Bill",0,"How does the sentence end?

Bill triumphed over John in the boxing ring because

OPTIONS: 
- Bill
- John
Output: Bill fought smarter.

How does the sentence end?

Bill triumphed over John in the boxing ring because

OPTIONS: 
- Bill
- John
Output: John fought cowardly.

How does the sentence end?

The big brother always beats the little brother at board games since

OPTIONS: 
- The big brother
- the little brother
Output: The big brother was older and wiser.

How does the sentence end?

The big brother always beats the little brother at board games since

OPTIONS: 
- The big brother
- the little brother
Output: the little brother is not very good at games.

How does the sentence end?

The young up-and-comer destroyed the old veteran Star in the shootout, so

OPTIONS: 
- The young upandcomer
- the old veteran Star
Output: The young upandcomer got placed on the starting line for the rest of the season.

How does the sentence end ?

Frank felt vindicated when his longtime rival Bill revealed that

OPTIONS: 
- Frank was the winner of the competition.
- Bill was the winner of the competition.
Thought: Use similar thought as before.
Output: ",frank was the winner of the competition,frank was the winner of the competition,True,5
Frank felt crushed when his longtime rival Bill revealed that,he,was the winner of the competition.,"Frank,Bill",1,"How does the sentence end?

Bill triumphed over John in the boxing ring because

OPTIONS: 
- Bill
- John
Output: Bill fought smarter.

How does the sentence end?

Bill triumphed over John in the boxing ring because

OPTIONS: 
- Bill
- John
Output: John fought cowardly.

How does the sentence end?

The big brother always beats the little brother at board games since

OPTIONS: 
- The big brother
- the little brother
Output: The big brother was older and wiser.

How does the sentence end?

The big brother always beats the little brother at board games since

OPTIONS: 
- The big brother
- the little brother
Output: the little brother is not very good at games.

How does the sentence end?

The veterans defeated the newcomers because

OPTIONS: 
- The veterans
- the newcomers
Output: The veterans were more experienced.

How does the sentence end ?

Frank felt crushed when his longtime rival Bill revealed that

OPTIONS: 
- Frank was the winner of the competition.
- Bill was the winner of the competition.
Thought: Use similar thought as before.
Output: ",bill was the winner of the competition,bill was the winner of the competition,True,5
The man couldn't lift his son because,he,was so weak.,"The man,The son",0,"How does the sentence end?

Joe tried to get Tom to wake up, but

OPTIONS: 
- Joe
- Tom
Output: Joe couldn't.

How does the sentence end?

Master Wong had to come to the defense of his pupil, Lun-Xiu, but

OPTIONS: 
- Master Wong
- LunXiu
Output: Master Wong is not confident 

How does the sentence end?

Joe tried to get Tom to wake up, but

OPTIONS: 
- Joe
- Tom
Output: Tom wouldn't.

How does the sentence end?

James asked Robert for a favor, but

OPTIONS: 
- James
- Robert
Output: Robert refused.

How does the sentence end?

James asked Robert for a favor, but

OPTIONS: 
- James
- Robert
Output: James was refused.

How does the sentence end ?

The man couldn't lift his son because

OPTIONS: 
- The man was so weak.
- The son was so weak.
Thought: Use similar thought as before.
Output: ",the man was so weak,the man was so weak,True,5
The man couldn't lift his son because,he,was so heavy.,"The man,The son",1,"How does the sentence end?

Joe tried to get Tom to wake up, but

OPTIONS: 
- Joe
- Tom
Output: Joe couldn't.

How does the sentence end?

Master Wong had to come to the defense of his pupil, Lun-Xiu, but

OPTIONS: 
- Master Wong
- LunXiu
Output: Master Wong is not confident 

How does the sentence end?

Joe tried to get Tom to wake up, but

OPTIONS: 
- Joe
- Tom
Output: Tom wouldn't.

How does the sentence end?

The father convinced his son that it is possible for him to one day become a knight, but

OPTIONS: 
- The father
- his son
Output: his son may never achieve such status coming from a peasant family.

How does the sentence end?

Lorenze took his son to the hospital since

OPTIONS: 
- Lorenze
- his son
Output: Lorenze was concerned for his health.

How does the sentence end ?

The man couldn't lift his son because

OPTIONS: 
- The man was so heavy.
- The son was so heavy.
Thought: Use similar thought as before.
Output: ",the son was so heavy,the son was so heavy,True,5
The large ball crashed right through the table because,it,was made of steel.,"The large ball,The table",0,"How does the sentence end?

The ball broke the window because

OPTIONS: 
- The ball
- the window
Output: The ball was hard.

How does the sentence end?

The ball broke the window because

OPTIONS: 
- The ball
- the window
Output: the window was fragile.

How does the sentence end?

Charles Dickinson shot at Andrew Jackson, so

OPTIONS: 
- Charles Dickinson
- Andrew Jackson
Output: Charles Dickinson started reloading.

How does the sentence end?

Master Wong had to come to the defense of his pupil, Lun-Xiu, but

OPTIONS: 
- Master Wong
- LunXiu
Output: Master Wong is not confident 

How does the sentence end?

Steve threw the bowling ball down the lane when

OPTIONS: 
- the bowling ball
- the lane
Output: the bowling ball returned.

How does the sentence end ?

The large ball crashed right through the table because

OPTIONS: 
- The large ball was made of steel.
- The table was made of steel.
Thought: Use similar thought as before.
Output: ",the large ball was made of steel,the large ball was made of steel,True,5
The large ball crashed right through the table because,it,was made of styrofoam.,"The large ball,The table",1,"How does the sentence end?

The ball broke the window because

OPTIONS: 
- The ball
- the window
Output: The ball was hard.

How does the sentence end?

The cat broke the glass because

OPTIONS: 
- The cat
- the glass
Output: the glass was fragile.

How does the sentence end?

The cat broke the glass because

OPTIONS: 
- The cat
- the glass
Output: The cat was clumsy.

How does the sentence end?

The ball broke the window because

OPTIONS: 
- The ball
- the window
Output: the window was fragile.

How does the sentence end?

The striker scored on the goalie because

OPTIONS: 
- The striker
- the goalie
Output: the goalie was caught off guard.

How does the sentence end ?

The large ball crashed right through the table because

OPTIONS: 
- The large ball was made of styrofoam.
- The table was made of styrofoam.
Thought: Use similar thought as before.
Output: ",the large ball was made of styrofoam,the table was made of styrofoam,False,5
John couldn't see the stage with Billy in front of him because,he,is so short.,"John,Billy",0,"How does the sentence end?

Bill triumphed over John in the boxing ring because

OPTIONS: 
- Bill
- John
Output: John fought cowardly.

How does the sentence end?

Mike tried to follow Tom but

OPTIONS: 
- Mike
- Tom
Output: Tom was hard to see.

How does the sentence end?

Gun instructors provide the best tips and practices to keep their students safe from firearm usage, but

OPTIONS: 
- Gun instructors
- their students
Output: their students need to make sure 

How does the sentence end?

John tricked Bill because

OPTIONS: 
- John
- Bill
Output: Bill was slow-witted.

How does the sentence end?

Bill triumphed over John in the boxing ring because

OPTIONS: 
- Bill
- John
Output: Bill fought smarter.

How does the sentence end ?

John couldn't see the stage with Billy in front of him because

OPTIONS: 
- John is so short.
- Billy is so short.
Thought: Use similar thought as before.
Output: ",john is so short,john is so short,True,5
John couldn't see the stage with Billy in front of him because,he,is so tall.,"John,Billy",1,"How does the sentence end?

Bill triumphed over John in the boxing ring because

OPTIONS: 
- Bill
- John
Output: John fought cowardly.

How does the sentence end?

Bill triumphed over John in the boxing ring because

OPTIONS: 
- Bill
- John
Output: Bill fought smarter.

How does the sentence end?

Mike tried to follow Tom but

OPTIONS: 
- Mike
- Tom
Output: Tom was hard to see.

How does the sentence end?

John tricked Bill because

OPTIONS: 
- John
- Bill
Output: Bill was slow-witted.

How does the sentence end?

Boyfriends always try to go out of their way to treat their girlfriends with respect, but

OPTIONS: 
- Boyfriends
- their girlfriends
Output: Boyfriends want to be treated with respect as well.

How does the sentence end ?

John couldn't see the stage with Billy in front of him because

OPTIONS: 
- John is so tall.
- Billy is so tall.
Thought: Use similar thought as before.
Output: ",billy is so tall,billy is so tall,True,5
Tom threw his schoolbag down to Ray after,he,reached the top of the stairs.,"Tom,Ray",0,"How does the sentence end?

UPS provides much convenience to the customers with their drop off service since

OPTIONS: 
- UPS
- the customers
Output: UPS make the shipping of packages extremely easy.

How does the sentence end?

Tom gave James a coat because

OPTIONS: 
- Tom
- James
Output: Tom was generous.

How does the sentence end?

Boyfriends always try to go out of their way to treat their girlfriends with respect, but

OPTIONS: 
- Boyfriends
- their girlfriends
Output: Boyfriends want to be treated with respect as well.

How does the sentence end?

Gun instructors provide the best tips and practices to keep their students safe from firearm usage, but

OPTIONS: 
- Gun instructors
- their students
Output: their students need to make sure 

How does the sentence end?

UPS provides much convenience to the customers with their drop off service so

OPTIONS: 
- UPS
- the customers
Output: the customers are encouraged to bring their packages in more often.

How does the sentence end ?

Tom threw his schoolbag down to Ray after

OPTIONS: 
- Tom reached the top of the stairs.
- Ray reached the top of the stairs.
Thought: Use similar thought as before.
Output: ",tom reached the top of the stairs,tom reached the top of the stairs,True,5
Tom threw his schoolbag down to Ray after,he,reached the bottom of the stairs.,"Tom,Ray",1,"How does the sentence end?

Tom gave James a coat because

OPTIONS: 
- Tom
- James
Output: Tom was generous.

How does the sentence end?

UPS provides much convenience to the customers with their drop off service since

OPTIONS: 
- UPS
- the customers
Output: UPS make the shipping of packages extremely easy.

How does the sentence end?

Boyfriends always try to go out of their way to treat their girlfriends with respect, but

OPTIONS: 
- Boyfriends
- their girlfriends
Output: Boyfriends want to be treated with respect as well.

How does the sentence end?

The boy lent his friend a pencil because the teacher told

OPTIONS: 
- The boy
- his friend
Output: The boy to share.

How does the sentence end?

The man gave the beggar some money because

OPTIONS: 
- The man
- the beggar
Output: The man was very generous.

How does the sentence end ?

Tom threw his schoolbag down to Ray after

OPTIONS: 
- Tom reached the bottom of the stairs.
- Ray reached the bottom of the stairs.
Thought: Use similar thought as before.
Output: ",tom reached the bottom of the stairs,ray reached the bottom of the stairs,False,5
"Although they ran at about the same speed, Sue beat Sally because",she,had such a good start.,"Sue,Sally",0,"How does the sentence end?

Caroline quickly defeated Sue because

OPTIONS: 
- Caroline
- Sue
Output: Caroline regained her confidence.

How does the sentence end?

Caroline quickly defeated Sue because

OPTIONS: 
- Caroline
- Sue
Output: Sue lost her confidence.

How does the sentence end?

The youth outran the old man because

OPTIONS: 
- The youth
- the old man
Output: The youth was in shape.

How does the sentence end?

The veterans defeated the newcomers because

OPTIONS: 
- The veterans
- the newcomers
Output: The veterans were more experienced.

How does the sentence end?

The veterans defeated the newcomers because

OPTIONS: 
- The veterans
- the newcomers
Output: the newcomers were less experienced.

How does the sentence end ?

Although they ran at about the same speed, Sue beat Sally because

OPTIONS: 
- Sue had such a good start.
- Sally had such a good start.
Thought: Use similar thought as before.
Output: ",sue had such a good start,sue had such a good start,True,5
"Although they ran at about the same speed, Sue beat Sally because",she,had such a bad start.,"Sue,Sally",1,"How does the sentence end?

The youth outran the old man because

OPTIONS: 
- The youth
- the old man
Output: The youth was in shape.

How does the sentence end?

Caroline quickly defeated Sue because

OPTIONS: 
- Caroline
- Sue
Output: Sue lost her confidence.

How does the sentence end?

Caroline quickly defeated Sue because

OPTIONS: 
- Caroline
- Sue
Output: Caroline regained her confidence.

How does the sentence end?

The veterans defeated the newcomers because

OPTIONS: 
- The veterans
- the newcomers
Output: The veterans were more experienced.

How does the sentence end?

The veterans defeated the newcomers because

OPTIONS: 
- The veterans
- the newcomers
Output: the newcomers were less experienced.

How does the sentence end ?

Although they ran at about the same speed, Sue beat Sally because

OPTIONS: 
- Sue had such a bad start.
- Sally had such a bad start.
Thought: Use similar thought as before.
Output: ",sally had such a bad start,sally had such a bad start,True,5
The sculpture rolled off the shelf because,it,wasn't anchored.,"The sculpture,The shelf",0,"How does the sentence end?

The painting was at the museum because

OPTIONS: 
- The painting
- the museum
Output: The painting was on display.

How does the sentence end?

The painting was at the museum because

OPTIONS: 
- The painting
- the museum
Output: the museum was having a display.

How does the sentence end?

The glass hit the floor and

OPTIONS: 
- The glass
- the floor
Output: the floor scratched.

How does the sentence end?

Samsonite makes luggage which is highly rated by Luggage Ratings Inc. because

OPTIONS: 
- Samsonite
- Luggage Ratings Inc
Output: Luggage Ratings Inc thought the product 

How does the sentence end?

The boulder dropped into the river, but

OPTIONS: 
- The boulder
- the river
Output: The boulder continued to roll.

How does the sentence end ?

The sculpture rolled off the shelf because

OPTIONS: 
- The sculpture wasn't anchored.
- The shelf wasn't anchored.
Thought: Use similar thought as before.
Output: ",the sculpture wasnt anchored,the sculpture wasnt anchored,True,5
The sculpture rolled off the shelf because,it,wasn't level.,"The sculpture,The shelf",1,"How does the sentence end?

The painting was at the museum because

OPTIONS: 
- The painting
- the museum
Output: The painting was on display.

How does the sentence end?

The painting was at the museum because

OPTIONS: 
- The painting
- the museum
Output: the museum was having a display.

How does the sentence end?

The glass hit the floor and

OPTIONS: 
- The glass
- the floor
Output: the floor scratched.

How does the sentence end?

Kenmore is known for making superb appliances which is sold at Sears, because

OPTIONS: 
- Kenmore
- Sears
Output: Sears are the best place to sell top brand appliances.

How does the sentence end?

Kenmore is known for making superb appliances which is sold at Sears since

OPTIONS: 
- Kenmore
- Sears
Output: Kenmore constantly leave customers happy with their high quality brand.

How does the sentence end ?

The sculpture rolled off the shelf because

OPTIONS: 
- The sculpture wasn't level.
- The shelf wasn't level.
Thought: Use similar thought as before.
Output: ",the shelf wasnt level,the shelf wasnt level,True,5
Sam's drawing was hung just above Tina's and,it,did look much better with another one below it.,"Sam's drawing,Tina's drawing",0,"How does the sentence end?

The painting was at the museum because

OPTIONS: 
- The painting
- the museum
Output: the museum was having a display.

How does the sentence end?

The painting was at the museum because

OPTIONS: 
- The painting
- the museum
Output: The painting was on display.

How does the sentence end?

Boyfriends always try to go out of their way to treat their girlfriends with respect, but

OPTIONS: 
- Boyfriends
- their girlfriends
Output: Boyfriends want to be treated with respect as well.

How does the sentence end?

Lemuel painted Jim a piece of art since

OPTIONS: 
- Lemuel
- Jim
Output: Lemuel knew how.

How does the sentence end?

Boyfriends always try to go out of their way to treat their girlfriends with respect because

OPTIONS: 
- Boyfriends
- their girlfriends
Output: their girlfriends are more inclined to stay with them when 

How does the sentence end ?

Sam's drawing was hung just above Tina's and

OPTIONS: 
- Sam's drawing did look much better with another one below it.
- Tina's drawing did look much better with another one below it.
Thought: Use similar thought as before.
Output: ",sams drawing did look much better with another one below it,sams drawing did look much better with another one below it,True,5
Sam's drawing was hung just above Tina's and,it,did look much better with another one above it.,"Sam's drawing,Tina's drawing",1,"How does the sentence end?

The painting was at the museum because

OPTIONS: 
- The painting
- the museum
Output: the museum was having a display.

How does the sentence end?

The painting was at the museum because

OPTIONS: 
- The painting
- the museum
Output: The painting was on display.

How does the sentence end?

Lemuel painted Jim a piece of art since

OPTIONS: 
- Lemuel
- Jim
Output: Lemuel knew how.

How does the sentence end?

Boyfriends always try to go out of their way to treat their girlfriends with respect, but

OPTIONS: 
- Boyfriends
- their girlfriends
Output: Boyfriends want to be treated with respect as well.

How does the sentence end?

Boyfriends always try to go out of their way to treat their girlfriends with respect because

OPTIONS: 
- Boyfriends
- their girlfriends
Output: their girlfriends are more inclined to stay with them when 

How does the sentence end ?

Sam's drawing was hung just above Tina's and

OPTIONS: 
- Sam's drawing did look much better with another one above it.
- Tina's drawing did look much better with another one above it.
Thought: Use similar thought as before.
Output: ",tinas drawing did look much better with another one above it,tinas drawing did look much better with another one above it,True,5
Anna did a lot better than her good friend Lucy on the test because,she,had studied so hard.,"Anna,Lucy",0,"How does the sentence end?

Claudia lost all her money to Valarie because

OPTIONS: 
- Claudia
- Valarie
Output: Valarie is really smart.

How does the sentence end?

The judges monitor the performance of the competitors to measure their abilities, but

OPTIONS: 
- The judges
- the competitors
Output: The judges do not decide if 

How does the sentence end?

The veterans defeated the newcomers because

OPTIONS: 
- The veterans
- the newcomers
Output: the newcomers were less experienced.

How does the sentence end?

Student A beat student B, because

OPTIONS: 
- Student A
- student B
Output: Student A studied.

How does the sentence end?

The youth outran the old man because

OPTIONS: 
- The youth
- the old man
Output: The youth was in shape.

How does the sentence end ?

Anna did a lot better than her good friend Lucy on the test because

OPTIONS: 
- Anna had studied so hard.
- Lucy had studied so hard.
Thought: Use similar thought as before.
Output: ",anna had studied so hard,anna had studied so hard,True,5
Anna did a lot worse than her good friend Lucy on the test because,she,had studied so hard.,"Anna,Lucy",1,"How does the sentence end?

Claudia lost all her money to Valarie because

OPTIONS: 
- Claudia
- Valarie
Output: Valarie is really smart.

How does the sentence end?

The judges monitor the performance of the competitors to measure their abilities, but

OPTIONS: 
- The judges
- the competitors
Output: The judges do not decide if 

How does the sentence end?

The teacher told the student that

OPTIONS: 
- The teacher
- the student
Output: The teacher expected something better from him.

How does the sentence end?

The veterans defeated the newcomers because

OPTIONS: 
- The veterans
- the newcomers
Output: The veterans were more experienced.

How does the sentence end?

The judges monitor the performances of the competitors to measure their abilities, so

OPTIONS: 
- The judges
- the competitors
Output: the competitors need to be able to impress them with their skills.

How does the sentence end ?

Anna did a lot worse than her good friend Lucy on the test because

OPTIONS: 
- Anna had studied so hard.
- Lucy had studied so hard.
Thought: Use similar thought as before.
Output: ",lucy had studied so hard,lucy had studied so hard,True,5
