,left,pron,right,candidates,selected,predicted,correct_sent,correct,number of shots,shot,input_prompt
58,"My meeting started at 4:00 and I needed to catch the train at 4:30,  so there wasn't much time. Luckily,",it,"was short, so it worked out.","The meeting,The train",0,the meeting was short so it worked out,the meeting was short so it worked out,True,3,3,
59,"My meeting started at 4:00 and I needed to catch the train at 4:30,  so there wasn't much time. Luckily,",it,"was delayed, so it worked out.","The meeting,The train",1,the train was delayed so it worked out,the train was delayed so it worked out,True,3,3,
60,"There is a pillar between me and the stage, and I can't see around",it,.,"The pillar,The stage",0,the pillar,the pillar,True,3,3,
61,"There is a pillar between me and the stage, and I can't see",it,.,"The pillar,The stage",1,the stage,the stage,True,3,3,
62,"They broadcast an announcement, but a subway came into the station and I couldn't hear",it,.,"The announcement,The subway",0,the announcement,the announcement,True,3,3,
63,"They broadcast an announcement, but a subway came into the station and I couldn't hear over",it,.,"The announcement,The subway",1,the subway,the subway,True,3,3,
64,"In the middle of the outdoor concert, the rain started falling, but",it,continued until 10.,"The concert,The rain",0,the rain continued until 10,the concert continued until 10,False,3,3,
65,"In the middle of the outdoor concert, the rain started falling, and",it,continued until 10.,"The concert,The rain",1,the rain continued until 10,the rain continued until 10,True,3,3,
66,"I used an old rag to clean the knife, and then I put",it,in the trash.,"The rag,The knife",0,the rag in the trash,the rag in the trash,True,3,3,
67,"I used an old rag to clean the knife, and then I put",it,in the drawer.,"The rag,The knife",1,the knife in the drawer,the knife in the drawer,True,3,3,
68,"Ann asked Mary what time the library closes, because",she,had forgotten.,"Ann,Mary",0,ann had forgotten,ann had forgotten,True,3,3,
69,"Ann asked Mary what time the library closes, but",she,had forgotten.,"Ann,Mary",1,mary had forgotten,mary had forgotten,True,3,3,
70,I took the water bottle out of the backpack so that,it,would be handy.,"The water bottle,The backpack",0,the water bottle would be handy,the water bottle would be handy,True,3,3,
71,I took the water bottle out of the backpack so that,it,would be lighter.,"The water bottle,The backpack",1,the backpack would be lighter,the backpack would be lighter,True,3,3,
72,I couldn't put the pot on the shelf because,it,was too tall.,"The pot,The shelf",0,the shelf was too tall,the pot was too tall,False,3,3,
73,I couldn't put the pot on the shelf because,it,was too high.,"The pot,The shelf",1,the pot was too high,the shelf was too high,False,3,3,
74,I'm sure that my map will show this building;,it,is very good.,"The map,The building",0,the map is very good,the map is very good,True,3,3,
75,I'm sure that my map will show this building;,it,is very famous.,"The map,The building",1,the map is very famous,the building is very famous,False,3,3,
76,Bob paid for Charlie's college education.,He,is very generous.,"Bob,Charlie",0,bob is very generous,bob is very generous,True,3,3,
77,Bob paid for Charlie's college education.,He,is very grateful.,"Bob,Charlie",1,charlie is very grateful,charlie is very grateful,True,3,3,
78,"Bob paid for Charlie's college education, but now Charlie acts as though it never happened.",He,is very hurt.,"Bob,Charlie",0,bob is very hurt,bob is very hurt,True,3,3,
79,"Bob paid for Charlie's college education, but now Charlie acts as though it never happened.",He,is very ungrateful.,"Bob,Charlie",1,charlie is very ungrateful,charlie is very ungrateful,True,3,3,
80,"Bob was playing cards with Adam and was way ahead. If Adam hadn't had a sudden run of good luck,",he,would have won.,"Bob,Adam",0,bob would have won,bob would have won,True,3,3,
81,"Bob was playing cards with Adam and was way ahead. If Adam hadn't had a sudden run of good luck,",he,would have lost.,"Bob,Adam",1,adam would have lost,adam would have lost,True,3,3,
82,"Adam can't leave work here until Bob arrives to replace him. If Bob had  left home for work on time,",he,would be gone by this time.,"Adam,Bob",0,adam would be gone by this time,adam would be gone by this time,True,3,3,
83,"Adam can't leave work here until Bob arrives to replace him. If Bob had  left home for work on time,",he,would be here by this time.,"Adam,Bob",1,bob would be here by this time,bob would be here by this time,True,3,3,
84,"If the con artist has succeeded in fooling Sam,",he,would have gotten a lot of money.,"The con artist,Sam",0,sam would have gotten a lot of money,the con artist would have gotten a lot of money,False,3,3,
85,"If the con artist has succeeded in fooling Sam,",he,would have lost a lot of money.,"The con artist,Sam",1,sam would have lost a lot of money,sam would have lost a lot of money,True,3,3,
86,"It was a summer afternoon, and the dog was sitting in the middle of the lawn. After a while, it got up and moved to a spot under the tree,  because",it,was hot.,"The dog,The spot under the tree",0,the dog was hot,the dog was hot,True,3,3,
87,"It was a summer afternoon, and the dog was sitting in the middle of the lawn. After a while, it got up and moved to a spot under the tree,  because",it,was cooler.,"The dog,The spot under the tree",1,the spot under the tree was cooler,the spot under the tree was cooler,True,3,3,
88,"The cat was lying by the mouse hole waiting for the mouse, but",it,was too impatient.,"The cat,The mouse",0,the cat was too impatient,the cat was too impatient,True,3,3,
89,"The cat was lying by the mouse hole waiting for the mouse, but",it,was too cautious.,"The cat,The mouse",1,the mouse was too cautious,the mouse was too cautious,True,3,3,
90,Anne gave birth to a daughter last month.,She,is a very charming woman.,"Anne,Anne's daughter",0,anne is a very charming woman,anne is a very charming woman,True,3,3,
91,Anne gave birth to a daughter last month.,She,is a very charming baby.,"Anne,Anne's daughter",1,annes daughter is a very charming baby,annes daughter is a very charming baby,True,3,3,
92,"Alice tried frantically to stop her daughter from chatting at the party, leaving us to wonder why",she,was behaving so strangely.,"Alice,Alice's daughter",0,alices daughter was behaving so strangely,alice was behaving so strangely,False,3,3,
93,"Alice tried frantically to stop her daughter from barking at the party, leaving us to wonder why",she,was behaving so strangely.,"Alice,Alice's daughter",1,alices daughter was behaving so strangely,alices daughter was behaving so strangely,True,3,3,
94,I saw Jim yelling at some guy in a military uniform with a huge red  beard. I don't know why,he,"was, but he looked very unhappy.","Jim,the guy in uniform",0,jim was but he looked very unhappy,jim was but he looked very unhappy,True,3,3,
95,I saw Jim yelling at some guy in a military uniform with a huge red  beard. I don't know who,he,"was, but he looked very unhappy.","Jim,the guy in uniform",1,the guy in uniform was but he looked very unhappy,the guy in uniform was but he looked very unhappy,True,3,3,
96,The fish ate the worm.,It,was hungry.,"The fish,The worm",0,the fish was hungry,the fish was hungry,True,3,3,
97,The fish ate the worm.,It,was tasty.,"The fish,The worm",1,the worm was tasty,the worm was tasty,True,3,3,
98,"I was trying to open the lock with the key, but someone had filled the  keyhole with chewing gum, and I couldn't get",it,in.,"The key,The chewing gum",0,the key in,the key in,True,3,3,
99,"I was trying to open the lock with the key, but someone had filled the  keyhole with chewing gum, and I couldn't get",it,out.,"The key,The chewing gum",1,the key out,the chewing gum out,False,3,3,
100,"The dog chased the cat, which ran up a tree.",It,waited at the bottom.,"The dog,The cat",0,the dog waited at the bottom,the dog waited at the bottom,True,3,3,
101,"The dog chased the cat, which ran up a tree.",It,waited at the top.,"The dog,The cat",1,the cat waited at the top,the cat waited at the top,True,3,3,
102,"In the storm, the tree fell down and crashed through the roof of my  house. Now, I have to get",it,removed.,"The tree,The roof",0,the tree removed,the tree removed,True,3,3,
103,"In the storm, the tree fell down and crashed through the roof of my  house. Now, I have to get",it,repaired.,"The tree,The roof",1,the roof repaired,the roof repaired,True,3,3,
104,The customer walked into the bank and stabbed one of the tellers.,He,was immediately taken to the police station.,"The customer,The teller",0,the customer was immediately taken to the police station,the customer was immediately taken to the police station,True,3,3,
105,The customer walked into the bank and stabbed one of the tellers.,He,was immediately taken to the hospital.,"The customer,The teller",1,the teller was immediately taken to the hospital,the teller was immediately taken to the hospital,True,3,3,
106,John was doing research in the library when he heard a man humming and  whistling.,He,was very annoyed.,"John,The man",0,john was very annoyed,john was very annoyed,True,3,3,
107,John was doing research in the library when he heard a man humming and  whistling.,He,was very annoying.,"John,The man",1,the man was very annoying,the man was very annoying,True,3,3,
108,John was jogging through the park when he saw a man juggling watermelons.,He,was very impressed.,"John,The juggler",0,john was very impressed,john was very impressed,True,3,3,
109,John was jogging through the park when he saw a man juggling watermelons.,He,was very impressive.,"John,The juggler",1,the juggler was very impressive,the juggler was very impressive,True,3,3,
110,Bob collapsed on the sidewalk. Soon he saw Carl coming to help.,He,was very ill.,"Bob,Carl",0,bob was very ill,bob was very ill,True,3,3,
111,Bob collapsed on the sidewalk. Soon he saw Carl coming to help.,He,was very concerned.,"Bob,Carl",1,carl was very concerned,carl was very concerned,True,3,3,
112,"Sam and Amy are passionately in love, but Amy's parents are unhappy about it, because",they,are fifteen.,"Sam and Amy,Amy's parents",0,sam and amy are fifteen,sam and amy are fifteen,True,3,3,
113,"Sam and Amy are passionately in love, but Amy's parents are unhappy about it, because",they,are snobs.,"Sam and Amy,Amy's parents",1,amys parents are snobs,amys parents are snobs,True,3,3,
114,"Mark told Pete many lies about himself, which Pete included in his book.",He,should have been more  truthful.,"Mark,Pete",0,mark should have been more truthful,mark should have been more  truthful,False,3,3,
115,"Mark told Pete many lies about himself, which Pete included in his book.",He,should have been more  skeptical.,"Mark,Pete",1,pete should have been more  skeptical,pete should have been more  skeptical,True,3,3,
116,Joe has sold his house and bought a new one a few miles away. He will be moving out of,it,on Thursday.,"The old house,The new house",0,the old house on thursday,the old house on thursday,True,3,3,
117,Joe has sold his house and bought a new one a few miles away. He will be moving into,it,on Thursday.,"The old house,The new house",1,the new house on thursday,the new house on thursday,True,3,3,
118,Many people start to read Paul's books and can't put them down.,They,are gripped because Paul writes so well.,"People,Paul's books",0,people are gripped because paul writes so well,people are gripped because paul writes so well,True,3,3,
119,Many people start to read Paul's books and can't put them down.,They,are popular because Paul writes so well.,"People,Paul's books",1,pauls books are popular because paul writes so well,pauls books are popular because paul writes so well,True,3,3,
120,Mary took out her flute and played one of her favorite pieces. She has had,it,since she was a child.,"The flute,The piece",0,the flute since she was a child,the flute since she was a child,True,3,3,
121,Mary took out her flute and played one of her favorite pieces. She has loved,it,since she was a child.,"The flute,The piece",1,the flute since she was a child,the piece since she was a child,False,3,3,
122,"Sam pulled up a chair to the piano, but",it,"was broken, so he had to stand instead.","The chair,The piano",0,the chair was broken so he had to stand instead,the chair was broken so he had to stand instead,True,3,3,
123,"Sam pulled up a chair to the piano, but",it,"was broken, so he had to sing instead.","The chair,The piano",1,the chair was broken so he had to sing instead,the piano was broken so he had to sing instead,False,3,3,
124,"Since it was raining, I carried the newspaper in my backpack to keep",it,dry.,"The newspaper,The backpack",0,the newspaper dry,the newspaper dry,True,3,3,
125,"Since it was raining, I carried the newspaper over my backpack to keep",it,dry.,"The newspaper,The backpack",1,the newspaper dry,the backpack dry,False,3,3,
126,Sara borrowed the book from the library because she needs it for an article she is working on. She reads,it,when she gets home from work.,"The book,The article",0,the book when she gets home from work,the book when she gets home from work,True,3,3,
127,Sara borrowed the book from the library because she needs it for an article she is working on. She writes,it,when she gets home from work.,"The book,The article",1,the article when she gets home from work,the article when she gets home from work,True,3,3,
128,"This morning, Joey built a sand castle on the beach, and put a toy  flag in the highest tower, but this afternoon the tide  knocked",it,down.,"The sand castle,The flag",0,the sand castle down,the sand castle down,True,3,3,
129,"This morning, Joey built a sand castle on the beach, and put a toy  flag in the highest tower, but this afternoon the wind  knocked",it,down.,"The sand castle,The flag",1,the flag down,the flag down,True,3,3,
130,"Jane knocked on Susan's door, but there was no answer.",She,was disappointed.,"Jane,Susan",0,jane was disappointed,jane was disappointed,True,3,3,
131,"Jane knocked on Susan's door, but there was no answer.",She,was out.,"Jane,Susan",1,susan was out,susan was out,True,3,3,
132,"Jane knocked on the door, and Susan answered it.",She,invited her to come out.,"Jane,Susan",0,jane invited her to come out,jane invited her to come out,True,3,3,
133,"Jane knocked on the door, and Susan answered it.",She,invited her to come in.,"Jane,Susan",1,jane invited her to come in,susan invited her to come in,False,3,3,
134,"Sam took French classes from Adam, because",he,was eager to speak it fluently.,"Sam,Adam",0,sam was eager to speak it fluently,sam was eager to speak it fluently,True,3,3,
135,"Sam took French classes from Adam, because",he,was known to speak it fluently.,"Sam,Adam",1,sam was known to speak it fluently,adam was known to speak it fluently,False,3,3,
136,"The path to the lake was blocked, so we couldn't use",it,.,"The path,The lake",0,the path,the path,True,3,3,
137,"The path to the lake was blocked, so we couldn't reach",it,.,"The path,The lake",1,the lake,the lake,True,3,3,
138,"The sun was covered by a thick cloud all morning, but luckily, by the time the picnic started,",it,was out.,"The sun,The cloud",0,the sun was out,the sun was out,True,3,3,
139,"The sun was covered by a thick cloud all morning, but luckily, by the time the picnic started,",it,was gone.,"The sun,The cloud",1,the cloud was gone,the cloud was gone,True,3,3,
140,"We went to the lake, because a shark had been seen at the ocean beach, so",it,was a safer place to swim.,"The lake,The ocean beach",0,the lake was a safer place to swim,the lake was a safer place to swim,True,3,3,
141,"We went to the lake, because a shark had been seen at the ocean beach, so",it,was a dangerous place to swim.,"The lake,The ocean beach",1,the ocean beach was a dangerous place to swim,the ocean beach was a dangerous place to swim,True,3,3,
142,"Sam tried to paint a picture of shepherds with sheep, but",they,ended up looking more like golfers.,"The shepherds,The sheep",0,the shepherds ended up looking more like golfers,the shepherds ended up looking more like golfers,True,3,3,
143,"Sam tried to paint a picture of shepherds with sheep, but",they,ended up looking more like dogs.,"The shepherds,The sheep",1,the sheep ended up looking more like dogs,the sheep ended up looking more like dogs,True,3,3,
144,"Mary tucked her daughter Anne into bed, so that",she,could work.,"Mary,Mary's daughter",0,mary could work,mary could work,True,3,3,
145,"Mary tucked her daughter Anne into bed, so that",she,could sleep.,"Mary,Mary's daughter",1,marys daughter could sleep,marys daughter could sleep,True,3,3,
146,"Fred and Alice had very warm down coats, but",they,were not prepared for the cold in Alaska.,"Fred and Alice,coats",0,fred and alice were not prepared for the cold in alaska,fred and alice were not prepared for the cold in alaska,True,3,3,
147,"Fred and Alice had very warm down coats, but",they,were not enough for the cold in Alaska.,"Fred and Alice,coats",1,coats were not enough for the cold in alaska,coats were not enough for the cold in alaska,True,3,3,
148,Thomson visited Cooper's grave in 1765. At that date,he,had been travelling for five years.,"Thomson,Cooper",0,thomson had been travelling for five years,thomson had been travelling for five years,True,3,3,
149,Thomson visited Cooper's grave in 1765. At that date,he,had been dead for five years.,"Thomson,Cooper",1,cooper had been dead for five years,cooper had been dead for five years,True,3,3,
150,"Jackson was greatly influenced by Arnold, though",he,lived two centuries later.,"Jackson,Arnold",0,arnold lived two centuries later,jackson lived two centuries later,False,3,3,
151,"Jackson was greatly influenced by Arnold, though",he,lived two centuries earlier.,"Jackson,Arnold",1,arnold lived two centuries earlier,arnold lived two centuries earlier,True,3,3,
152,I can't cut that tree down with that axe;,it,is too thick.,"The tree,The axe",0,the tree is too thick,the tree is too thick,True,3,3,
153,I can't cut that tree down with that axe;,it,is too small.,"The tree,The axe",1,the axe is too small,the axe is too small,True,3,3,
154,The foxes are getting in at night and attacking the chickens. I shall have to kill,them,.,"The foxes,The chickens",0,the foxes,the foxes,True,3,3,
155,The foxes are getting in at night and attacking the chickens. I shall have to guard,them,.,"The foxes,The chickens",1,the chickens,the chickens,True,3,3,
156,The foxes are getting in at night and attacking the chickens.,They,have gotten very bold.,"The foxes,The chickens",0,the foxes have gotten very bold,the foxes have gotten very bold,True,3,3,
157,The foxes are getting in at night and attacking the chickens.,They,have gotten very nervous.,"The foxes,The chickens",1,the chickens have gotten very nervous,the chickens have gotten very nervous,True,3,3,
158,"Fred covered his eyes with his hands, because the wind was blowing sand around. He opened",them,when the wind stopped.,"His eyes,His hands",0,his eyes when the wind stopped,his eyes when the wind stopped,True,3,3,
159,"Fred covered his eyes with his hands, because the wind was blowing sand around. He lowered",them,when the wind stopped.,"His eyes,His hands",1,his hands when the wind stopped,his hands when the wind stopped,True,3,3,
160,"The actress used to be named Terpsichore, but she changed it to Tina a  few years ago, because she figured",it,was too hard to pronounce.,"Terpsichore,Tina",0,terpsichore was too hard to pronounce,terpsichore was too hard to pronounce,True,3,3,
161,"The actress used to be named Terpsichore, but she changed it to Tina a  few years ago, because she figured",it,was easier to pronounce.,"Terpsichore,Tina",1,tina was easier to pronounce,tina was easier to pronounce,True,3,3,
162,Fred watched TV while George went out to buy groceries. After an hour,he,got up.,"Fred,George",0,george got up,fred got up,False,3,3,
163,Fred watched TV while George went out to buy groceries. After an hour,he,got back.,"Fred,George",1,george got back,george got back,True,3,3,
164,"Fred was supposed to run the dishwasher, but he put it off,  because he wanted to watch TV. But the show turned out to be boring, so he changed his mind and turned",it,on.,"The dishwasher,The TV",0,the dishwasher on,the dishwasher on,True,3,3,
165,"Fred was supposed to run the dishwasher, but he put it off,  because he wanted to watch TV. But the show turned out to be boring, so he changed his mind and turned",it,off.,"The dishwasher,The TV",1,the tv off,the tv off,True,3,3,
166,Fred is the only man still alive who remembers my great-grandfather.,He,is a remarkable man.,"Fred,My great-grandfather",0,fred is a remarkable man,fred is a remarkable man,True,3,3,
167,Fred is the only man still alive who remembers my great-grandfather.,He,was a remarkable man.,"Fred,My great-grandfather",1,my greatgrandfather was a remarkable man,my greatgrandfather was a remarkable man,True,3,3,
168,"Fred is the only man alive who still remembers my father as an infant. When Fred first saw my father,",he,was twelve years old.,"Fred,My father",0,my father was twelve years old,fred was twelve years old,False,3,3,
169,"Fred is the only man alive who still remembers my father as an infant. When Fred first saw my father,",he,was twelve months old.,"Fred,My father",1,my father was twelve months old,my father was twelve months old,True,3,3,
170,"In July, Kamchatka declared war on Yakutsk. Since Yakutsk's army was much  better equipped and ten times larger,",they,were defeated within weeks.,"Kamchatka,Yakutsk",0,kamchatka were defeated within weeks,kamchatka were defeated within weeks,True,3,3,
171,"In July, Kamchatka declared war on Yakutsk. Since Yakutsk's army was much  better equipped and ten times larger,",they,were victorious within weeks.,"Kamchatka,Yakutsk",1,yakutsk were victorious within weeks,yakutsk were victorious within weeks,True,3,3,
172,Look! There is a minnow swimming right below that duck!,It,had better get away to safety fast!,"The minnow,The duck",0,the minnow had better get away to safety fast,the minnow had better get away to safety fast,True,3,3,
173,Look! There is a shark swimming right below that duck!,It,had better get away to safety fast!,"The shark,The duck",1,the duck had better get away to safety fast,the duck had better get away to safety fast,True,3,3,
174,"Archaeologists have concluded that humans lived in Laputa 20,000 years ago.",They,hunted for evidence on the river banks.,"Archaeologists,Prehistoric humans",0,archaeologists hunted for evidence on the river banks,archaeologists hunted for evidence on the river banks,True,3,3,
175,"Archaeologists have concluded that humans lived in Laputa 20,000 years ago.",They,hunted for deer on the river banks.,"Archaeologists,Prehistoric humans",1,prehistoric humans hunted for deer on the river banks,prehistoric humans hunted for deer on the river banks,True,3,3,
176,The scientists are studying three species of fish that have recently been found living in the Indian Ocean.,They,began two years ago.,"The scientists,The fish",0,the scientists began two years ago,the scientists began two years ago,True,3,3,
177,The scientists are studying three species of fish that have recently been found living in the Indian Ocean.,They,appeared two years ago.,"The scientists,The fish",1,the fish appeared two years ago,the fish appeared two years ago,True,3,3,
178,The journalists interviewed the stars of the new movie.,They,"were very persistent, so the interview lasted for a long time.","The journalists,The stars",0,the journalists were very persistent so the interview lasted for a long time,the journalists were very persistent so the interview lasted for a long time,True,3,3,
179,The journalists interviewed the stars of the new movie.,They,"were very cooperative, so the interview lasted for a long time.","The journalists,The stars",1,the stars were very cooperative so the interview lasted for a long time,the stars were very cooperative so the interview lasted for a long time,True,3,3,
180,The police arrested all of the gang members.,They,were trying to stop the drug trade in the neighborhood.,"The police,The gang members",0,the police were trying to stop the drug trade in the neighborhood,the police were trying to stop the drug trade in the neighborhood,True,3,3,
181,The police arrested all of the gang members.,They,were trying to run the drug trade in the neighborhood.,"The police,The gang members",1,the gang members were trying to run the drug trade in the neighborhood,the gang members were trying to run the drug trade in the neighborhood,True,3,3,
182,I put the cake away in the refrigerator.,It,has a lot of butter in it.,"The cake,The refrigerator",0,the cake has a lot of butter in it,the cake has a lot of butter in it,True,3,3,
183,I put the cake away in the refrigerator.,It,has a lot of leftovers in it.,"The cake,The refrigerator",1,the cake has a lot of leftovers in it,the refrigerator has a lot of leftovers in it,False,3,3,
184,Sam broke both his ankles and he's walking with crutches. But a month or so from now,they,should be better.,"The ankles,The crutches",0,the ankles should be better,the ankles should be better,True,3,3,
185,Sam broke both his ankles and he's walking with crutches. But a month or so from now,they,should be unnecessary.,"The ankles,The crutches",1,the crutches should be unnecessary,the crutches should be unnecessary,True,3,3,
